SSID,Filename,File Count,Creator[4599],Publisher[3099011],Title[4601],Image View Type[4603],Date[4604],Materials/Techniques[4608],Measurements[4609],Artstor Classification[4610],Work Type[4867],Repository[4612],Call Number[4613],Creation/Discovery Site[4615],Country[4619],Description[4620],Subject[4621],Relationships[4622],Source[4623],Photographer[4624],Image Date[4625],ID Number[4626],Rights[4627],ARTstor Id[4628],Resource Type[1040493],Media URL
35008950,With_God001.tif,2,"Barrass, Judy|Freeman, Brad, 1951-",,With God on our side,(Cover and interior images),2017,,24 unnumbered pages : illustrations ; 23 cm,Prints,Artist's book,Joseph C. Sloane Art Library,Bound Serials JAB no.43(Spring 2018) Suppl.,"[Chicago, Ill.] : [Center for Book, Paper, & Print, Columbia College]",,,Religion and culture.|Religion in art.,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,,With_God,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/35008950/representation-view
35008949,The_past_is001.tif,2,"George, Chris, 1967-|Freeman, Brad, 1951-",,The past is better than the present and the future is nowhere,(Cover and interior images),2017,,22 unnumbered pages : chiefly color illustrations ; 23 cm,Prints,Artist's book,Joseph C. Sloane Art Library,Bound Serials JAB no.42(Fall 2017) Suppl.,"Chicago : Center for Book and Paper Arts, Columbia College",,,,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,,The_past_is,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/35008949/representation-view
35008948,Song_of_myself001.tif,1,"Whitman, Walt, 1819-1892|Baroana, Isabel, 1974-",,Excerpts from Song of myself,(Cover image),[2017],,1 volume (unpaged) : color illustrations ; 28 cm,Prints,Artist's book,Joseph C. Sloane Art Library,Bound Serials JAB no.43(Spring 2018) Suppl.,"[Chicago] : [Center for Book, Paper & Print, The Journal of Artists' Books]",,,,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,,Song_of_myself,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/35008948/representation-view
35008947,Paper_architecture001.tif,2,"Wirth, Karen|Freeman, Brad, 1951-",,Paper architecture,(Cover and interior images),2017,,22 unnumbered pages: all illustrations (chiefly color); 23 cm,Prints,Artist's book,Joseph C. Sloane Art Library,Bound Serials JAB no.42(Fall 2017) Suppl.,"Chicago : Center for Book and Paper Arts, Columbia College",,,Architecture -- Pictorial works.|Architecture in art.|Architectural drawing -- Pictorial works.|Architectural drawing -- In art.|Photography -- United States -- 21st century.|Photography.|Architectural drawing.|Architecture.|United States.,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,,Paper_architecture,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/35008947/representation-view
33816497,Swamp_Monsters001.tif,1,"Zimmermann, Philip|Slack, Mike",,Swamp monsters : photographs from the 2020 Republican National Convention,(Cover),2020,,"55 pages, 1 unnumbered page : all color illustrations ; 37 cm",Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.Z55 S92 2020,"[Tucson, Arizona] : Spaceheater Editions|[Los Angeles] : The Ice Plant",,,"Republican Party (U.S. : 1854- ) -- Caricatures and cartoons.|Republican National Convention (42nd : 2020 : Charlotte, N.C.) -- Caricatures and cartoons.|Republican National Convention.|2000-2099.|Politicians -- United States -- Caricatures and cartoons.|Political art -- 21st century.|Portrait photography.|Portrait photography -- United States -- 21st century.|Photography, Artistic -- 21st century.|Politicians.|Photography, Artistic.|Political art.|United States.",,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,,Swamp_Monsters,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/33816497/representation-view
33816496,Sierra_Suite_B001.tif,2,"Hockensmith, Josh",,Sierra suite : (overheard),(Cover & interior images),2019,,24 unnumbered pages ; 23 cm,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.H62 S54 2019b,"[Pittsboro, North Carolina] : Blue Bluer Books",,,,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,,Sierra_Suite_B,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/33816496/representation-view
33816495,Sierra_Suite001.tif,2,"Hockensmith, Josh",,Sierra suite : (overheard),(Cover & interior images),2019,,24 unnumbered pages ; 26 cm,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.H62 S54 2019,"[Pittsboro, North Carolina] : Blue Bluer Books",,,,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,,Sierra_Suite,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/33816495/representation-view
32806229,Un_libro_biblioteca001.tif,2,"Santiago, Alfonso, 1988-",,"Un libro biblioteca : un libro dentro de un libro, un libro dentro de una biblioteca, una biblioteca dentro de un libro, un libro biblioteca, una biblioteca libro",(Cover & interior images),2020,Printing / production method -- Unknown.|Binding method -- Perfect binding.,112 pages : chiefly illustrations ; 18 cm,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.S256 L53 2020,Ciudad de México : ESPAC Espacio de Arte Contemporáneo,,,"2000-2099.|Art, Modern -- 21st century.|Conceptual art -- 21st century.|Art, Modern.|Books in art.|Conceptual art.|Themes, motives.",,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,,Un_libro_biblioteca,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/32806229/representation-view
32806228,Trafico_grafico001.tif,2,"Estrada Campos, Adríel",,Tráfico gráfico,(Cover & interior images),[2018],Printing / production method -- Risograph.|Binding method -- Stab binding.,32 unnumbered pages : color illustrations ; 28 cm,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.35.M6 T73 2018,"Morelia, Michoacán, México : El Mono Ebrio Editiorial",,,"Revolutions -- Pictorial works.|Government, Resistance to -- Pictorial works.|Revolutions -- Mexico -- Pictorial works.|Government, Resistance to -- Mexico -- Pictorial works.|Government, Resistance to.|Revolutions.|Mexico.",,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,,Trafico_grafico,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/32806228/representation-view
32806227,Mourning_warning001.tif,2,"Blassingame, Tia",,Mourning/Warning. Numbers and repeaters,(Cover & interior images),[2018],Printing / production method -- Digital print (unspecified).|Binding method -- Pamphlet binding.,20 unnumbered pages : chiefly color illustrations ; 28 cm,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.B57635 M682 2018,"[Claremont, California] : [Tia Blassingame, Primrose Press?]",,,Flags in art.|Signals and signaling -- In art.|Murder victims -- United States.|Racism -- United States.|Memorialization -- United States.|Signals and signaling.|Murder victims.|Memorialization.|Racism.|United States.,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,,Mourning_warning,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/32806227/representation-view
32806226,Knuller_woodcut_prints001.tif,2,"Jolowicz, Gabriela, 1978-|Solomatina, Ira",,Knüller woodcut prints,(Cover & interior images),2017,Printing / production method -- Woodcut.|Binding method -- Tabloid format.,10 unnumbered folded sheets : chiefly illustrations ; 30 cm,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.J645 K68 2017,Madrid : Cabeza de Chorlito,,,,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,,Knuller_woodcut_prints,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/32806226/representation-view
32806225,Hoy_todo_sale_bien001.tif,2,"Gimenez, Eduardo Abel",,Hoy todo sale bien,(Images of the enclosure & interior),2018,Printing / production method -- Unknown.|Binding method -- Loose-leaf in enclosure.,7 sheets : illustrations ; 30 x 11 cm folded to 19 x 11 cm,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.G55 H69 2018,[Buenos Aires] : Dábale Arroz,,,,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,,Hoy_todo_sale_bien,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/32806225/representation-view
32806224,Escurecendo_s_fatos001.tif,3,"Gabrielle, Yasmin",,Escurecendo s fatos,(Cover & interior images),[2020?],Printing / production method -- Unknown.|Binding method -- Single sheet folded zine structure.,1 folded sheet : illustrations (partly colour) ; (30 x 42 cm folded to 15 x 11 cm,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.G24 E73 2020,[Brasil] : Yasmin Gabrielle,,,"Brazil -- Social conditions -- Poetry.|Women, Black -- Brazil -- Social conditions -- Poetry.",,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,,Escurecendo_s_fatos,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/32806224/representation-view
32806223,A_girls_life001.tif,2,"Drucker, Johanna, 1952-|Bee, Susan",,A girl's life,(Cover & interior images),2002,Printing / production method -- Offset.|Binding method -- Smyth sewing.,1 volume (unpaged) : color illustrations ; 26 cm,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.D83 G58 2002,New York : Granary Books,,,Girls -- Poetry.|Teenage girls -- Fiction.|Teenage girls in popular culture.,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,,A_girls_life,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/32806223/representation-view
32006262,Que_luz_estarias_a_ler1.tif,2,"Messeder, João Pedro, 1957-|Biscaia, Ana",,Que luz estarias a ler?,(Cover & interior images),2014,,1 volume (unpaged) : colour illustrations ; 24 cm,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.B565 Q42 2014,"Coimbra, Portugal : Xerefé Edições",,,"Gaza War, 2014 -- Children -- Pictorial works|Children -- Books and reading -- Gaza Strip",,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,09/22/2021,Que_luz_estarias_a_ler1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone:",,Digital Images,https://forum.jstor.org/assets/32006262/representation-view
