SSID,Filename,File Count,Creator[4599],Title[4601],Image View Type[4603],Date[4604],Style/Period[4607],Materials/Techniques[4608],Measurements[4609],Artstor Classification[4610],Work Type[4867],Repository[4612],Call Number[4613],Creation/Discovery Site[4615],Country[4619],Description[4620],Subject[4621],Relationships[4622],Source[4623],Photographer[4624],Image Date[4625],ID Number[4626],Rights[4627],ARTstor Id[4628],Resource Type[1040493],Media URL
42060320,dondehogar_001.tif,3,"Vicente, Juli",Donde hogar hubo,(Cover and interior images),[2024],,,1 volume (unpaged) : colour illustrations ; 13 x 18 cm,Prints,Zine,Joseph C. Sloane Art Library,N7433.4.V53 D66 2024,"Córdoba, Argentina : Cielo Invertido Ediciones",,,,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,2026,dondehogar_001,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu.",,Digital Images,https://forum.jstor.org/assets/42060320/representation-view
39805039,solitaire_01.tif,3,Marina & the Diamonds,Solitaire,(Cover and interior images),[202-?],,,1 volume (unpaged) : illustrations ; 15 cm,Prints,Zine,Joseph C. Sloane Art Library,NC194.M83 A72 2020z,[Argentina] : Dana Mucci,,,,,University of North Carolina - Chapel Hill,Sloane Art Library,2025,solitaire_01,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone:",,Digital Images,https://forum.jstor.org/assets/39805039/representation-view
39529714,mano_001.tif,3,"Flórez, Laura (Flórez Herrera); DePapel, Fango",Una mano de emociones,(Cover and interior images),2023,,,1 volume (unpaged) : colour illustrations ; 15 cm,Prints,Zine,Joseph C. Sloane Art Library,N7433.4.F595 M36 2023,Bogotá : Taller El Bosque VI : Volcán Edisiones,,,,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,2025,mano_001,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu.",,Digital Images,https://forum.jstor.org/assets/39529714/representation-view
39529713,maiz_001.tif,2,"Palacios, Carla E., 1997- ","El maíz, núcleo de nuestra historia",(Cover and interior images),2022,,,1 folded sheet : colour illustrations ; 50 cm x 18 cm folded to 18 x 26 cm,Prints,Zine,Joseph C. Sloane Art Library,SB191.M2 P35 2022,"[Oaxaca, Mexico] : Instituto de Artes Gráficas de Oaxaca",,,,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,2025,maiz_001,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu.",,Digital Images,https://forum.jstor.org/assets/39529713/representation-view
39529712,hay_001.tif,2,"Moralbaut, Ernesto; Nunes, Gabriel Brito",Hay un desgarre en el paisaje,(Cover and interior images),[2023],,,1 volume (unpaged) : illustrations ; 18 cm + 1 sheet (illustrations ; 18 x 23 cm folded to 18 x 12 cm),Prints,Zine,Joseph C. Sloane Art Library,N7433.3.A1 H39 2023,"[Tlatelolco, Ciudad de México] : Periferika",,,,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,2025,hay_001,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu.",,Digital Images,https://forum.jstor.org/assets/39529712/representation-view
39529711,futuro_001.tif,3,Gerrysnk,Futuro,(Cover and interior images),[2023],,,1 sheet : chiefly illustrations ; 28 x 21 cm folded to 10 x 8 cm,Prints,Zine,Joseph C. Sloane Art Library,N7433.4.G477 F88 2023,[Mexico] : Gerrysnk,,,,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,2025,futuro_001,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu.",,Digital Images,https://forum.jstor.org/assets/39529711/representation-view
39529710,death_001.tif,2,"Campbell, Thomas",Death spark,(Cover and interior images),2024-,,,volumes : color illustrations ; 26 cm,Prints,Zine,Joseph C. Sloane Art Library,PN6728 .D43 no.1(2024),[United States?] : [Comics Blogger Books],,,,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,2025,death_001,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu.",,Digital Images,https://forum.jstor.org/assets/39529710/representation-view
39529709,creative_two_001.tif,2,"Gendron, Heather",Her creative pursuits no. 2,(Cover and interior images),2014-,,,volumes : chiefly illustrations ; 22 cm,Prints,Zine,Joseph C. Sloane Art Library,N7433.4.M3175 M67 2021 v.2,"[Carrboro, NC] : H.G.",,,,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,2025,creative_two_001,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu.",,Digital Images,https://forum.jstor.org/assets/39529709/representation-view
39529708,creative_one_001.tif,2,"Gendron, Heather",Her creative pursuits no.1,(Cover and interior images),2014-,,,volumes : chiefly illustrations ; 22 cm,Prints,Zine,Joseph C. Sloane Art Library,N7433.4.M3175 M67 2021 v.1,"[Carrboro, NC] : H.G.",,,,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,2025,creative_two_002,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu.",,Digital Images,https://forum.jstor.org/assets/39529708/representation-view
39529707,sonnets_001.tif,3,"Kyung-Lim, Dylan",Sonnets,(Cover and interior images),2016,,,6 unnumbered pages ; 11 cm,Prints,Zine,Joseph C. Sloane Art Library,PS3611.Y86 S66 2016,"[Durham, NC] : Zinesboro",,,,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,2025,sonnets_001,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu.",,Digital Images,https://forum.jstor.org/assets/39529707/representation-view
39529705,sobre_001.tif,2,,[Sobre negro],(Cover and interior images),between 2020 and 2024,,,4 leaves : illustrations ; 20 x 15 cm,Prints,Zine,Joseph C. Sloane Art Library,N7433.4.A1 S62 2020,"[Oaxaca de Juárez, OAX] : [Ojo Tres]",,,,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,2025,sobre_001,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu.",,Digital Images,https://forum.jstor.org/assets/39529705/representation-view
39529704,perdida_001.tif,4,Mapril (María Fernanda Rincón Abril),Perdida,(Cover and interior images),Noviembre de 2023,,,"1 volume (unpaged) : illustrations ; 16 cm + 4 cards (illustrated ; 20 x 9 cm), 1 instruction card (10 x 6 cm), 1 folded card (10 cm 6 cm) + 1 pair cardboard glasses with red plastic lenses, within decorated cardboard band",Prints,Zine,Joseph C. Sloane Art Library,RA790 .M329 2023,[Colombia] : Mapril,,,,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,2025,perdida_001,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu.",,Digital Images,https://forum.jstor.org/assets/39529704/representation-view
39529702,morritas_001.tif,3,Malviviente,Morritas & caguamas,(Cover and interior images),julio 2021-2022,,,2 volumes : illustrations ; 7-11 cm,Prints,Zine,Joseph C. Sloane Art Library,,"Jalisco, México : Malviviente",,,,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,2025,morritas_001,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu.",,Digital Images,https://forum.jstor.org/assets/39529702/representation-view
39499217,adventures_01.tif,2,"Federis, Trisha; Stringer, Claire",The adventures of Sandy Potter and Mildred Bearce,(Cover and interior images),2016-,,,volumes : illustrations ; 12 cm,Prints,Zine,Joseph C. Sloane Art Library,PS3606.E332 A63 2016 no.1,[United States?] : Oatmeal Press,,,,,University of North Carolina - Chapel Hill,,,adventures_01,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone:",,Digital Images,https://forum.jstor.org/assets/39499217/representation-view
39499216,tinder_01.tif,2,"Holleman, Alice",[Tinder hearts],(Cover and interior images),[2020?],,,6 pages : color illustrations ; 11 cm,Prints,Zine,Joseph C. Sloane Art Library,N7433.4.H628 T56 2020,"[Raleigh, NC] Alice Holleman",,,,,University of North Carolina - Chapel Hill,,,tinder_01,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone:",,Digital Images,https://forum.jstor.org/assets/39499216/representation-view
39499215,tiene_01.tif,2,"Tonche, Abi",Tiene espinas el rosal,(Cover and interior images),[2022],,,1 volume (unpaged) : illustrations ; 10 x 14 cm,Prints,Zine,Joseph C. Sloane Art Library,"
GV1111 .T66 2022",[Mexico] : Ojo Tres,,,,,University of North Carolina - Chapel Hill,,,tiene_01,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone:",,Digital Images,https://forum.jstor.org/assets/39499215/representation-view
39499214,perrxss_01.tif,3,"Altamirano, Pako",Perrxss,(Cover and interior images),2023,,,6 sheets : illustrations ; 21 cm,Prints,Zine,Joseph C. Sloane Art Library,TR729.D6 A58 2023,[México] : Acha,,,,,University of North Carolina - Chapel Hill,,,perrxss_01,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone:",,Digital Images,https://forum.jstor.org/assets/39499214/representation-view
39499213,moth_01.tif,3,Bramblebug,Moth,(Cover and interior images),2023,,,6 unnumbered pages : illustration ; 90 mm + 1 booklet (6 pages : illustrations ; 65 mm),Prints,Zine,Joseph C. Sloane Art Library,N7433.4.B7113 M68 2023,"Durham, NC : Bramblebug",,,,,University of North Carolina - Chapel Hill,,,moth_01,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone:",,Digital Images,https://forum.jstor.org/assets/39499213/representation-view
39499212,maravillosa_01.tif,3,,La maravillosa y creíble historia de un perrito y su sombrero,(Cover and interior images),2022,,,1 volume (unpaged) : chiefly illustrations ; 4 cm,Prints,Zine,Joseph C. Sloane Art Library,N7433.4.A1 M375 2022,[México] : [@limonada.electrica],,,,,University of North Carolina - Chapel Hill,,,maravillosa_01,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone:",,Digital Images,https://forum.jstor.org/assets/39499212/representation-view
39499211,huye_01.tif,3,floresrosx,Huye,(Cover and interior images),abril 2023,,,1 sheet : colour illustrations ; 19 x 28 cm folded to 10 x 10 cm,Prints,Zine,Joseph C. Sloane Art Library,N7433.4.F56 H89 2023,[Ciudad de México] : floresrosx,,,,,University of North Carolina - Chapel Hill,,,huye_01,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone:",,Digital Images,https://forum.jstor.org/assets/39499211/representation-view
39499210,huitzilin_01.tif,3,"Sánchez, Angélica",Huitzilin y la flor de cempasúchil,(Cover and interior images),between 2020 and 2024,,,5 pages : illustrations (chiefly colour) ; 43 x 28 cm folded to 14 x 12 cm,Prints,Zine,Joseph C. Sloane Art Library,F1221.N3 S246 2020,[México] : La Cigarra Cuenta Cuentos,,,,,University of North Carolina - Chapel Hill,,,huitzilin_01,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone:",,Digital Images,https://forum.jstor.org/assets/39499210/representation-view
39499209,dog_01.tif,3,"Kyung-Lim, Dylan",Dog missed connections,(Cover and interior images),2016,,,6 unnumbered pages : illustration ; 11 cm,Prints,Zine,Joseph C. Sloane Art Library,"
N7433.4.K98 D64 2016",[North Carolina] : Zinesboro,,,,,University of North Carolina - Chapel Hill,,,dog_01,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone:",,Digital Images,https://forum.jstor.org/assets/39499209/representation-view
39464271,que_tamano001.tif,2,Ohdiosperro,¿De qué tamaño son las ideas?,(Cover and interior images),[2022?],,,1 volume (unpaged) : illustrations ; 1 cm,Prints,Zine,Joseph C. Sloane Art Library,N7433.4.O414 D42 2022,[México] : @ohdiosperro,,,,,University of North Carolina - Chapel Hill,,,que_tamano001,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone:",,,https://forum.jstor.org/assets/39464271/representation-view
