creatorID,name,wikidata identifiers
1,Freedom House (U.S.),
2,Skye Tafoya,Q119982489
3,Bob Goldstein,Q38320477
4,Islam Aly,
5,Sebastian Barrante,
6,Noah Scalin,Q7045449
7,Jessica Mitrani,Q121767988
8,Alisa Banks,Q99591270
9,Hannah Waldron,Q104834848
10,Mariana Paula Perata,
11,Rafał Milach,Q52424220
12,Manuel Tzoc,Q130477092
13,Monica McKelvey Johnson,Q55106153
14,Pilar Álvarez Pablos,Q125377259
15,داوید وویناروویچ,Q952233
16,Alejandra Macedo,
17,Karen Kunc,Q59578164
18,Helen Hiebert,Q112517137
19,Jana Sim,
20,Katya Lesiv,
21,Victor Chorniy,
22,Subcomandante Marcos,Q491635
23,Francisco Pineda,
24,Laura Espejel López,
25,Alicia Olivera de Bonfil,Q139064357
26,Salvador Rueda Smithers,Q61781491
27,Colette Fu,Q27915324
28,Pablo Vindel,
29,Peri Law,
30,Critter,
31,Lorenzo Mendez,
32,Fernando Pérez Villalón,Q139409910
33,Ana Lea-Plaza,
34,Abraham García,
35,Guillermo Deisler,Q773226
36,Ramon Dachs,Q19301649
37,Carlos Soto Román,Q136961498
38,Florida State University Facility for Arts Research,
39,Angela Lorenz,Q63533183
40,Nowhereman Press,
41,AMBruno (Group of Artists),
42,Ulises Carrión,Q739180
43,Jessica Greenfield,
44,Kameelah Janan Rasheed,Q28858654
45,Josh Hockensmith,Q118139980
46,Camila Estrella,
47,Ian Hamilton Finlay,Q567547
48,Juliana Muñoz Toro,Q139038679
49,Marcelo Brodsky,Q63683664
50,Magdalena Jordán,
51,Beata Wehr,
52,Eduardo Abel Giménez,Q5818920
53,Ximena Perez Grobet,Q99491223
54,Mateo Rivano,
55,Janet Cardiff,Q1682651
56,George Bures Miller,Q5537425
57,Germany) Hamburger Bahnhof (Exhibition hall : Berlin,
58,Art Gallery of Alberta,
59,Centro de Arte Contemporânea Inhotim,
60,Sebastián Arancibia Flores,Q134120047
61,Christine Kermaire,Q102036264
62,Chris McCaw,Q63965654
63,Sebastián Arancibia Flores,Q134120047
64,Maureen Cummins,Q29452354
65,Sebastian Barrante,
66,Valeria Susana Aranda,Q64692599
67,Marcela Cabutti,Q114842566
68,Ximena Perez Grobet,Q99491223
69,Richard Kostelanetz,Q7327133
70,Cristina de Middel,Q16215220
71,"Ruth, 1955- Hayes",
72,Day Moon Press,
73,Graciela Iturbide,Q468816
74,Matthew Monahan,Q6790982
75,Francois Deschamps,Q134413615
76,"Aisnara, 1967- Perera Díaz",
77,María de los Ángeles Meriño Fuentes,Q55688741
78,"Iacy Maia, 1973- Mata",
79,Carlos Miguel Oliva,
80,Johann E. Trujillo,
81,Ediciones Vigía,
82,Roberto Huarcaya,Q55999248
83,Mariano Zuzunaga,Q5998033
84,"Felipe L., 1951- Aranguren",
85,Kathryn Andrews,Q55236057
86,"Jack, 1960- Pierson",
87,Rachael Thomas,
88,Maeve Butler,
89,Lucia Pietroiusti,
90,"Dublin, Ireland) Irish Museum of Modern Art (Kilmainham",
91,Gregory Crewdson,Q1347062
92,Rick Moody,
93,Joyce Carol Oates,Q217557
94,Darcey Steinke,Q5222323
95,Bradford Morrow,Q4954722
96,San Francisco Artspace,
97,"Joseph, 1857-1924 Conrad",
98,Fiona Banner,Q5451020
99,"Paolo, 1964- Pellegrin",
100,Jo Hamill,
101,Selena Jayne Ingram,
102,Mhairi Law Alec Finlay ; with Hannah Devereux,
103,Dread Scott,Q26899216
104,Sol LeWitt,Q168587
105,Adrian Piper,Q373948
106,Mirjana Ursulesku,
107,Merce Cunningham,Q318364
108,Frances Stark,
109,Ben Patterson,
110,Adam Pendleton,Q16223357
111,James Laughlin,
112,M. L Breton,
113,Sandra Liddell Reese,
114,Harry Reese,Q75450756
115,Michael Bixler,
116,J.-A.-S Collin de Plancy,
117,Turkey Press,
118,Brian Routh,Q4965189
119,Kipper Kids (Group of artists),
120,Betye Saar,Q2900288
121,Beverly Gleaves,
122,David Ossman,Q3703282
123,Pat Ryan,
124,Christopher Russell,
125,Mark Moore Gallery,
126,James Lee Byars,Q882861
127,Piet de Jonge,Q136568067
128,Stedelijk Van Abbemuseum,
129,Max Gimblett,Q15452430
130,Laura Owens,
131,Ooga Booga (Firm),
132,Yves Klein,
133,Pascal Claude,
134,Denys Riout,Q134087192
135,Elmar Heimbach,
136,Michael Mosing,
137,Marc Saporta,Q3288383
138,Lorenzo Vitturi,
139,Sam Berkson,
140,Paul Éluard,Q152176
141,Man Ray,
142,"Judith, 1940-2006 Moore",
143,Françoise Mouly,Q941550
144,"Sue, 1951- Coe",
145,Annette Messager,Q2665553
146,Jean-Philippe Toussaint,Q430204
147,Museum of Modern Art (New York,
148,Library Council,
149,Erica Van Horn,Q79103422
150,David Bellingham,Q21466682
151,Coracle Press,
152,Mirosław Bałka,Q2293085
153,Jacob Samuel,
154,W. H. Auden,Q178698
155,Richard Tuttle,
156,Artists' Books Collection (Library of Congress),
157,Limestone Press,
158,"Paul, 1968- Soulellis",
159,Monika Kulicka,
160,John Gibson (Gallery),
161,Guillermo Gómez-Peña,Q5616163
162,Felicia Rice,Q27825211
163,Gustavo Vazquez,
164,Jennifer A González,
165,Zachary James Watkins,
166,Moving Parts Press,
167,Anselm Kiefer,Q170344
168,Jean-Louis Froment,
169,Ingeborg Bachmann,
170,Chris Burden,Q720832
171,Philip Zimmerman,
172,Calif Archetype Press,
173,Art Center College of Design,
174,Gabriel García Márquez,Q5878
175,Janelle Poe,
176,Sheryl Oppenheim,
177,|publisher Small Editions,
178,1986- Solange,
179,Carlota Guerrero,Q112707061
180,Ral Veroni,Q96962559
181,Heidi Neilson,
182,Women's Studio Workshop,
183,Ruth Behar,Q1699866
184,Ediciones Vigía,
185,Rolando Estévez Jordán,
186,Jennifer Brook,
187,|publisher Tree House Press,
188,Leandro Katz,Q6509683
189,Nexus Press,
190,|publisher Blue Bluer Books (Firm),
191,Cathryn Miller,
192,Julie Chen,
193,Flying Fish Press,
194,Barbara Tetenbaum,Q98968397
195,Catalina Jaramillo Quijano,Q133441191
196,Emily Martin,
197,N. Y. )| Center for Book Arts (New York,
198,Naughty Dog Press,
199,Amelia Bird,
200,Lee Krist,
201,|printer EM Space,
202,|printer Independent Publishing Resource Center,
203,Or )| Regional Arts & Culture Council (Portland,
204,Kevin Hamilton,
205,Ken Leslie,
206,Clarissa Sligh,Q18347825
207,|printer Blue Ridge Printing,
208,|book designer Susan Rhew Design,
209,Heather Weston,Q72689009
210,Jonathan Horowitz,
211,Jorge Luis Borges,Q909
212,James East Irby,
213,Janet Zweig,Q22957953
214,Holly E Anderson,Q117194721
215,Ill ) Center for Book & Paper Arts | Columbia College (Chicago,
216,Xu Bing,
217,Tom Phillips,
218,W. H. (William Hurrell) Mallock,
219,Jonathan Foer,
220,Bruno Schulz,
221,Cory Arcangel,Q1135754
222,Rawan Alferaehy Ian D. Warren,
223,Raúl Hernández,
224,Dany Barash Sophie Calle ; translation,
225,Roberley Bell,Q130386424
226,Sarah McDermott,Q136819993
227,Kidney Press,
228,Women's Studio Workshop,
229,Lize Mogel and Alexis Bhagat,
230,Hamish Fulton,Q325142
231,Hamish Fulton,Q325142
232,Richard Long,
233,Scottish National Gallery of Modern Art,
234,Sylvia Adrian Notini edited by Stefania Ricci and Sergio Risaliti ; translations,
235,Francis Alÿs,Q558288
236,essay by] Lexi Lee Sullivan ; with contributions by Cole Swensen and Helen Mirra ; edited by Kristin Swan,
237,Andreas Baur und Tina Plokarz für die Galerie der Stadt Esslingen am Neckar ; Texte Herausgeber,
238,edited by David Evans,
239,Tom Killion and Gary Snyder,
240,Don Celender 1931-2005,
241,Paul Soulellis,Q25688033
242,Mishka Henner,Q6875557
243,Michalis Pichler,Q132702150
244,Ed Ruscha,Q430967
245,Ed Ruscha,Q430967
246,Thomas Galler,
247,Carl Andre,
248,Robert Barry,
249,Douglas Huebler,Q248070
250,Joseph Kosuth,Q313113
251,Sol LeWitt,Q168587
252,Robert Morris,
253,Seth Siegelaub,Q3480661
254,Lawrence Weiner,
255,|issuing Strangers in a Tangled Wilderness (Publisher),
256,Danny Resner,
257,Leah Shapiro,Q99676018
258,Judith Arcana,Q6303265
259,Chicago Women's Liberation Union,
260,Jeanne Galatzer-Levy,
261,Jane (Abortion service),
262,Ruth Surgal,
263,Anaïs Argence,
264,|publisher La Dïéresis (Firm),
265,Emiliano Álvarez,
266,Beatriz Paz,
267,弗兰克·奥申,Q357645
268,Brad Freeman,
269,|publisher JAB Books,
270,Romano Hänni,
271,Leslie Smith,
272,Iowa Center for the Book,
273,"Kevin Simón, 1982- Mancera Vivas",
274,"Alec, 1969- Soth",
275,Brad Zellar,Q4954381
276,Brandon Graham,
277,Center for Book & Paper Arts Columbia College,
278,Flat Publications,
279,Little Brown Mushroom (Firm),
280,"Louis, 1977- Porter",
281,"Cristina, 1975- De Middel",
282,Be Happy (Firm),
283,Adam Broomberg,Q19012575
284,Oliver Chanarin,Q19012578
285,"Gerhard, 1932- Richter",
286,"David, 1951- Schenck",
287,Annie Herlocker,Q105090649
288,Betsy Neely,
289,Ed Templeton,Q328378
290,"Sadie, 1973- Benning",
291,Solveig Øvstebø,Q125620666
292,Elena Filipovic,Q59529764
293,University of Chicago. Renaissance Society,
294,Kunsthalle Basel,
295,Ross Bleckner,Q1711445
296,Cate Chason,
297,Ned Irvine,
298,Sophie Calle,
299,Pauline Baggio,
300,Melissa Catanese,Q133609348
301,"Helge, 1966- Reumann",
302,Xavier Robel,Q133705461
303,"Bernardo (Domínguez Cereceres), 1960- Domínguez C.",
304,Eko,
305,Jennifer Brook 1981-,
306,Tree House Press,
307,Sheryl Oring,Q108694258
308,Fargo Books,
309,Dennis Marsico,Q125224479
310,Dionysus Press,
311,Zeca Baleiro,Q2914811
312,Roger Mello,
313,Universidade Federal de Goiás,
314,"Luis, 1948- Lorente",
