creatorID,name
1,"Freedom House (U.S.)"
2,"Rhiannon Skye Tafoya"
3,"Bob Goldstein"
4,"Islam Aly"
5,"Sebastian Barrante"
6,"edited by Noah Scalin"
7,"Jessica Mitrani"
8,"Alisa Banks"
9,"by Hannah Waldron"
10,"Mariana Paula Perata"
11,"Rafał Milach"
12,"Manuel Tzoc"
13,"Monica Johnson"
14,"Pilar Álvarez Pablos"
15,"David Wojnarowicz"
16,"Alejandra Macedo"
17,"Karen Kunc"
18,"Helen Hiebert"
19,"Jana Sim"
20,"Katya Lesiv"
21,"Victor Chorniy"
22,"Subcomandante Marcos"
23,"Francisco Pineda"
24,"Laura Espejel López"
25,"Alicia Olivera de Bonfil"
26,"Salvador Rueda Smithers"
27,"Colette Fu Artist"
28,"Pablo Vindel"
29,"Peri Law"
30,Critter
31,"Lorenzo Mendez"
32,"Fernando Pérez Villalón"
33,"Ana Lea-Plaza"
34,"Abraham García"
35,"Guillermo Deisler"
36,"Ramon Dachs"
37,"Carlos Soto Román"
38,"Florida State University Facility for Arts Research"
39,"Angela Lorenz"
40,"Nowhereman Press"
41,"AMBruno (Group of Artists)"
42,"Ulises Carrión"
43,"Jessica Greenfield"
44,"Kameelah Janan Rasheed"
45,"Josh Hockensmith"
46,"Camila Estrella"
47,"Ian Hamilton Finlay"
48,"Juliana Muñoz Toro"
49,"Marcelo Brodsky"
50,"Magdalena Jordán"
51,"Beata Wehr"
52,"Eduardo Abel Gimenez"
53,"Ximena Pérez Grobet"
54,"Mateo Rivano"
55,"Janet, 1957- Cardiff"
56,"George Bures, 1960- Miller"
57,"Germany) Hamburger Bahnhof (Exhibition hall : Berlin"
58,"Art Gallery of Alberta"
59,"Centro de Arte Contemporânea Inhotim"
60,"Arancibia, Sebastián"
61,"Christine Kermaire"
62,"Chris McCaw"
63,"Sebastián Arancibia"
64,"Maureen Cummins"
65,"Sebastián Barrante"
66,"Valerie Aranda"
67,"Marcela Cabutti"
68,"Ximena Pérez Grobet"
69,"Richard Kostelanetz"
70,"Cristina De Middel"
71,"Ruth, 1955- Hayes"
72,"Day Moon Press"
73,"Graciela Iturbide"
74,"Matthew Monahan"
75,"F. Deschamps"
76,"Aisnara, 1967- Perera Díaz"
77,"María de los Ángeles, 1966- Meriño Fuentes"
78,"Iacy Maia, 1973- Mata"
79,"Carlos Miguel Oliva"
80,"Johann E. Trujillo"
81,"Ediciones Vigía"
82,"Roberto, 1959- Huarcaya"
83,"Mariano Zuzunaga"
84,"Felipe L., 1951- Aranguren"
85,"Kathryn Andrews"
86,"Jack, 1960- Pierson"
87,"Rachael Thomas"
88,"Maeve Butler"
89,"Lucia Pietroiusti"
90,"Dublin, Ireland) Irish Museum of Modern Art (Kilmainham"
91,"Gregory Crewdson"
92,"Rick Moody"
93,"Joyce Carol, 1938- Oates"
94,"Darcey Steinke"
95,"Bradford, 1951- Morrow"
96,"San Francisco Artspace"
97,"Joseph, 1857-1924 Conrad"
98,"Fiona Banner"
99,"Paolo, 1964- Pellegrin"
100,"Jo Hamill"
101,"Selena Jayne Ingram"
102,"Mhairi Law Alec Finlay ; with Hannah Devereux"
103,"Dread Scott"
104,"Sol Lewitt"
105,"Adrian Piper"
106,"Mirjana Ursulesku"
107,"Merce Cunningham"
108,"Frances Starr"
109,"Ben Patterson"
110,"Adam Pendleton"
111,"James Laughlin"
112,"M. L Breton"
113,"Sandra Liddell Reese"
114,"Harry Reese"
115,"Michael Bixler"
116,"J.-A.-S Collin de Plancy"
117,"Turkey Press"
118,"Brian Routh"
119,"Kipper Kids (Group of artists)"
120,"Betye Saar"
121,"Beverly Gleaves"
122,"David Ossman"
123,"Pat Ryan"
124,"Christopher Russell"
125,"Mark Moore Gallery"
126,"James Lee Byars"
127,"Piet de Jonge"
128,"Stedelijk Van Abbemuseum"
129,"Max Gimblett"
130,"Laura Owens"
131,"Ooga Booga (Firm)"
132,"Yves Klein"
133,"Pascal Claude"
134,"Denys Riout"
135,"Elmar Heimbach"
136,"Michael Mosing"
137,"Marc Saporta"
138,"Lorenzo Vitturi"
139,"Sam Berkson"
140,"Paul Eluard"
141,"Man Ray"
142,"Judith, 1940-2006 Moore"
143,"Françoise Mouly"
144,"Sue, 1951- Coe"
145,"Annette Messager"
146,"Jean-Philippe Toussaint"
147,"N.Y.) Museum of Modern Art (New York"
148,"Library Council"
149,"Erica Van Horn"
