citedItemKey,n,refItemKey,method,confidence,review,refTitle,citationText
226R6HJK,1,BEGEG5AI,substring,0.950,yes,Artists books,"Lyons, Joan. Artists' Books : Visual Studies Workshop Press. Rochester: Visual Studies Workshop Press, 2009. pp.78, 164."
24YJ4MQA,1,A5RE4482,substring,0.990,,Artists' books : the book as a work of art 1963-2000,"Bury, Stephen. Artists’ Books : the Book as a Work of Art 1963-2000. London: Bernard Quaritch Ltd, 2015. pp.17, 38, 45, 178."
24YJ4MQA,2,BCG5FURQ,substring,0.990,,The century of artists' books,"Drucker, Johanna. The Century of Artists’ Books. 2nd ed. New York City: Granary Books, 2004. pp.178, 179, 276."
24YJ4MQA,3,6QJ3APUK,substring,0.990,,What is?: nine epistemological essays,"Drucker, Johanna. What Is : Nine Epistemological Essays. [Victoria, Texas]: Cuneiform Press, 2013. p.33."
24YJ4MQA,4,94CKQLVX,substring,0.990,,Artists' books : a critical anthology and sourcebook,"Lyons, Joan. Artists' Books : A Critical Anthology and Sourcebook. Rochester: Visual Studies Workshop Press, 1985. p.46."
24YJ4MQA,5,SGBJXYRF,substring,0.990,,Esthétique du livre d'artiste 1960/1980 : une introduction à l'art contemporain,"Moeglin-Delcroix, Anne. Esthétique Du Livre D’artiste 1960/1980 : Une Introduction à L'art Contemporain. Nouv. éd. rev. et augm. Marseille: Bibliothèque nationale de France, 2012. pp.XVII, 20, 38, 249, 250, 434."
24YJ4MQA,6,DHC5ATH7,substring,0.990,,Livres d'artistes,"Moeglin-Delcroix, Anne. Livres D’artistes. Paris: BPI, Centre Georges Pompidou, 1985. pp.79, 80."
24YJ4MQA,7,FAEUXXHV,substring,0.990,,Booktrek : selected essays on artists' books (1972-2010),"Phillpot, Clive. Booktrek: Selected Essays on Artists’ Books (1972-2010). Zurich: JRP/Ringier, 2013. pp.220-221, 225, 228, 265."
24YJ4MQA,8,MN3CW7FZ,substring,0.990,,Artists and their books - books and their artists,"Reed, Marcia, and Glenn Phillips. Artists and their books - books and their artists. Los Angeles: The Getty Research Institute, 2018. pp.158, 160-161, 208."
24YJ4MQA,9,T5WUKIXI,substring,0.990,,Multiples: the first decade; [catalogue],"Tancock, John L. Multiples: the First Decade; [Catalogue]. [Philadelphia]: [Philadelphia Museum of Art; distributed by Boston Book and Art, Boston], 1971. p.[94]."
24YJ4MQA,10,JV2JKULL,substring,0.990,,Various small books : referencing various small books by Ed Ruscha,"Taylor, Phil. Various Small Books: Referencing Various Small Books by Ed Ruscha. Cambridge, Massachusetts: MIT Press, 2013. pp.11, 24, 25, 27, 56, 61, 74, 151."
24YJ4MQA,11,E8MAPXUI,substring,0.990,,Learn to read art: artists' books,"Tousley, Nancy, Felipe Ehrenberg, and Sally Alatalo. Learn to Read Art: Artists' Books. Hamilton, Ont: Art Gallery of Hamilton, 1990. p.10."
24YJ4MQA,12,SUH3PR5D,substring,0.990,,Diamond leaves : artist books from around the world,"Xu, Bing, Bingyan Liu, Yue Sun, Marshall Weber, Mark G. Dimunation, Xun Jiang, John Koh, and David Senior. Diamond Leaves: Artist Books from Around the World. Guilin Shi : Guangxi Shi fan da xue chu ban she, 2015. pp.69-74."
28QX2N42,1,KB2E34DZ,substring,0.990,,Artist/author : contemporary artists' books,"Lauf, Cornelia. Artist/author : Contemporary Artists’ Books. New York: American Federation of Arts, 1998. pp.36-37, 46, 51, 82, 84, 88, 157."
28QX2N42,2,JHBWPGKS,substring,0.990,,Sol LeWitt : artist's books,"LeWitt, Sol. Sol LeWitt: Artist’s Books. Sant’Eraclio di Foligno (Foligno): Viaindustriae, 2009. p.121."
28QX2N42,3,SGBJXYRF,substring,0.990,,Esthétique du livre d'artiste 1960/1980 : une introduction à l'art contemporain,"Moeglin-Delcroix, Anne. Esthétique Du Livre D’artiste 1960/1980 : Une Introduction à L'art Contemporain. Nouv. éd. rev. et augm. Marseille: Bibliothèque nationale de France, 2012. pp.267, 431."
28QX2N42,4,FAEUXXHV,substring,0.990,,Booktrek : selected essays on artists' books (1972-2010),"Phillpot, Clive. Booktrek: Selected Essays on Artists’ Books (1972-2010). Zurich: JRP/Ringier, 2013. pp.250, 264, 268."
2FMAJ6SK,1,EYAM3MR5,substring,0.990,,Creating artists' books,"Bodman, Sarah. Creating Artists’ Books. New York: Watson-Guptill Publications, 2005. pp.77, 78."
2FMAJ6SK,2,5ECYVY6V,substring,0.990,,"Hand, voice & vision: artists' books from Women's Studio Workshop","Walkup, Kathy. Hand, Voice & Vision: Artists’ Books from Women's Studio Workshop. Rosendale, N.Y.: Women’s Studio Workshop, 2010. pp.59."
2LGSRZH3,1,6QJ3APUK,substring,0.990,,What is?: nine epistemological essays,"Drucker, Johanna. What Is : Nine Epistemological Essays. [Victoria, Texas]: Cuneiform Press, 2013. p.55."
2N5AY2W9,1,G7EEP5BC,substring,0.990,,Gerhard Richter : books,"Elger, Dietmar. Gerhard Richter : Books. New York, NY: Gregory R. Miller & Co., 2014. p.29 n8."
2N5AY2W9,2,94CKQLVX,substring,0.990,,Artists' books : a critical anthology and sourcebook,"Lyons, Joan. Artists' Books : A Critical Anthology and Sourcebook. Rochester: Visual Studies Workshop Press, 1985. pp.107, 108."
2N5AY2W9,3,FAEUXXHV,substring,0.990,,Booktrek : selected essays on artists' books (1972-2010),"Phillpot, Clive. Booktrek : Selected Essays on Artists’ Books (1972-2010). Zurich: JRP/Ringier , 2013. pp. 27, 28, 42, 103, 158."
336ZZN7S,1,BEGEG5AI,substring,0.950,yes,Artists books,"Lyons, Joan. Artists' Books : Visual Studies Workshop Press. Rochester: Visual Studies Workshop Press, 2009. pp.122, 153."
3QXLXM2L,1,BCG5FURQ,substring,0.990,,The century of artists' books,"Drucker, Johanna. The Century of Artists’ Books. 2nd ed. New York City: Granary Books, 2004. pp.129-131, 130."
3QXLXM2L,2,BEGEG5AI,substring,0.950,yes,Artists books,"Lyons, Joan. Artists' Books : Visual Studies Workshop Press. Rochester: Visual Studies Workshop Press, 2009. pp.78, 158."
3QXLXM2L,3,L3HFQ2SA,substring,0.990,,Beyond the text : artists' books from the collection of Robert J. Ruben,"Ruben, Robert J. Beyond the Text: Artists' Books from the Collection of Robert J. Ruben. New York: Grolier Club, 2010. pp.90, 91."
3S6VEBTX,1,A5RE4482,substring,0.990,,Artists' books : the book as a work of art 1963-2000,"Bury, Stephen. Artists’ Books : the Book as a Work of Art 1963-2000. London: Bernard Quaritch Ltd, 2015. p.204."
3S6VEBTX,2,94CKQLVX,substring,0.990,,Artists' books : a critical anthology and sourcebook,"Lyons, Joan. Artists' Books : A Critical Anthology and Sourcebook. Rochester: Visual Studies Workshop Press, 1985. pp.66, 67."
3S6VEBTX,3,SGBJXYRF,substring,0.990,,Esthétique du livre d'artiste 1960/1980 : une introduction à l'art contemporain,"Moeglin-Delcroix, Anne. Esthétique Du Livre D’artiste 1960/1980 : Une Introduction à L'art Contemporain. Nouv. éd. rev. et augm. Marseille: Bibliothèque nationale de France, 2012. pp.311, 322, 432."
3VINCA44,1,D2HD5CJR,substring,0.990,,Speaking of book art : interviews with British and American book artists,"Courtney, Cathy. Speaking of Book Art: Interviews with British and American Book Artists. Los Altos Hills, Calif: Anderson-Lovelace, 1999. p. 152."
