itemKey,title,ISBN,extra,date,creators
EUF6LPNM,"43, according to Robin Price : with annotated bibliography [deluxe edition]","0-924433-12-4 978-0-924433-12-2",,"2009-00-00 2009","Price, Robin (Glenna Robin)"
JJ379BZA,"43, according to Robin Price : with annotated bibliography","0-924433-12-4 978-0-924433-12-2",,"2008-00-00 2008","Price, Robin (Glenna Robin)"
8QTFKZUC,"Un vuelo",,"OCLC: 1023514105","1993-00-00 1993","Meltzer, Mirta"
9AWK266W,"Women Songs: Vision and Metaphor",,"OCLC: 1015684845","1993-00-00 1993","Luckett, Rosemary; McDevitt, Charlotte; Adler, Patricia"
PCX7PIT9,"An eye for an eye.",,"OCLC: 52237113","1994-00-00 1994","Lorenz, Angela; Lorenz, Angela; Lorenz, Angela"
UA7PM3EF,"12:38 - 14:16",,"ID: VCU_ALMA21370321270001101","2006-00-00 2006","Deeg, Daniela"
CCIV94VQ,"The Jewelry Box",,,"2000-00-00 2000","Corral, Laurie"
ZQXNAJZ6,"Tap Root: Stories from the Earth",,,"2005-00-00 2005","Berkowitz, Bonnie A."
IX8RQNUR,"Ten reflections on Rainer Maria Rilke's Duino elegies",,"OCLC: 1099120669","2003-00-00 2003","Intima Press; Belloff, Mindy, Rilke, Rainer Maria; Oswald, Davis; Ivry, Judith"
TP3XFVZK,"Chapter XXOO.",,"OCLC: 58790468","2004-00-00 2004","Belloff, Mindy; Intima Press"
FE6CAZ74,"Pop Up * Pop Out",,,"2002-00-00 2002","Beech, Margaret"
NU9WVERF,"Punica granatum: a symposium on the true nature of the pomegranate & the myth of Aphrodite : a conceptual work",,"OCLC: 1280699311","2005-00-00 2005","Hermetic Press; Bart, Harriet; Bart, Harriet; Gallo, Philip; Press Collection (Library of Congress); Jevne, Jill; Mnemonic Press"
QWCE554S,"Alphabetica Synthetica: an exploration of the artificial world",,"OCLC: 816167377","2003-00-00 2003","Barton, Carol June"
D8T5CI4U,"Book of Questions",,,"2005-00-00 2005","Judin, Nina"
SKHURWFI,Aimo,,,"2005-00-00 2005","Judin, Nina"
WDT3UFSR,"Starship Log and Pod",,,"2004-00-00 2004","Johnston, Peggy L"
W5G2IHBZ,"The Nightingale and the Rose",,,"2005-00-00 2005","Johnson, Linda K."
PWWIMZSK,Journey,,,"2006-00-00 2006","Johnson, Julie L."
8AMSK3BI,Aleta,,,"2005-00-00 2005","Johnson, Julie L"
7SUH5TJV,"Greetings from Bloomington, Indiana",,,"2004-00-00 2004","Jesionowski, Rosemary Kate"
6U586J3G,"Ha Ha Ha",,,"2003-00-00 2003","Jacobson, Shellie"
A9KU5H3E,"Message Inside",,,"2002-00-00 2002","Jacobsin, Shellie"
DKWCVTTB,Breathe,,,"2005-00-00 2005","Jacobson, Shellie"
J984R4VM,"Alphabet Tricks",,,"2000-00-00 2000","Jacobs, Diane"
5I97II59,"The Black Hole",,,"2003-00-00 2003","Jacobs, Diane"
IAGF2F93,"Green Birchwood",,,"2004-00-00 2004","Jacobs, Amy"
76TA8ST6,"Three Grey Women",,,"2003-00-00 2003","Izumi, Garrett Abe"
DSZ8FNQR,"ABZ Bees",,,"2002-00-00 2002","Howe, Mary"
7PPHN9GC,"Wasps as Paper Makers",,,"2003-00-00 2003","Howe, Mary"
Z47N4Z4Q,"Dorothy: Images",,,"2001-00-00 2001","Horrigan, Terry"
NJ48ZHH4,"Paper Towers",,,"2005-00-00 2005","Horowitz, Sarah"
8KNNBAG2,"7 Extinction Events",,,"2006-00-00 2006","Hoffman, Judith A."
2P2UETNR,"Orange Album",,,"2006-00-00 2006","Hodges, David"
ZN9SRJ7H,"The mappist",,,"2005-00-00 2005","Hodges, David"
8GHMVC29,"Dancing with Amelia",,,"2000-00-00 2000","Hobson, Charles"
5U48SC3C,Skin,,,"2004-00-00 2004","Hines, Jennifer"
XKW3I64V,"Woman of Substance",,,"2004-00-00 2004","Hetzler, Patricia T."
I2KESZAU,"My House",,,"1998-00-00 1998","Hensel, Susan"
CCQE9FNH,"Oscar 365",,,"2002-00-00 2002","Henninger, Michael A."
