title,authors,zotero_item_id,google_books_id,google_books_url
"""A declaration of dependence""","Romeu, Joost",9881,fse3HAAACAAJ,https://books.google.com/books?id=fse3HAAACAAJ
"""El joven aprendiz de pintor"" de Joaquín Sabina","Alatriste T., Janitzio; Sabina, Joaquín",16331,k850MgAACAAJ,https://books.google.com/books?id=k850MgAACAAJ
"""Swans, the ice,"" she said","Workshop.|, Women's Studio; Gorrick, Anne; Winika, Cynthia |",9657,QegkAgAACAAJ,https://books.google.com/books?id=QegkAgAACAAJ
"& this is where we can begin, thankfully","Cohick, Aaron",15828,2MZoMwEACAAJ,https://books.google.com/books?id=2MZoMwEACAAJ
&&&,"Carlson, Eric",17124,Jg-UMwEACAAJ,https://books.google.com/books?id=Jg-UMwEACAAJ
(Blu)est-reak,"Leeb, Susan",9957,1Y0-OwAACAAJ,https://books.google.com/books?id=1Y0-OwAACAAJ
"(Ho + go)² = it","Laxson, Ruth",8842,M73yAAAACAAJ,https://books.google.com/books?id=M73yAAAACAAJ
"--It's still privileged art","Condé, Carole; Beveridge, Karl",10887,ygjWAAAACAAJ,https://books.google.com/books?id=ygjWAAAACAAJ
051272,"Fuenmayor, Jesús; Hernández-Santana, Emiliano",11912,9zV-NQEACAAJ,https://books.google.com/books?id=9zV-NQEACAAJ
"100 things with handles","Lewandowski, Simon; Clements, Wayne; Garnett, S. W. (Steve W. )",12067,-RPPMgEACAAJ,https://books.google.com/books?id=-RPPMgEACAAJ
"101 soluciones para salir de la crisis","Fresneda, Andrés; Ríos, Alexander",9890,XLPyoAEACAAJ,https://books.google.com/books?id=XLPyoAEACAAJ
"11 excerpts (1967-1970) = 11 [i.e. onze] extraits (1967-1970)","Bochner, Mel",9982,9WQJOwAACAAJ,https://books.google.com/books?id=9WQJOwAACAAJ
"11 excerpts (1967-1970) = 11 [i.e. onze] extraits (1967-1970)","Bochner, Mel",10366,9WQJOwAACAAJ,https://books.google.com/books?id=9WQJOwAACAAJ
"11.21.11 5:40 p.m.","Misrach, Richard",9920,EIe1nAEACAAJ,https://books.google.com/books?id=EIe1nAEACAAJ
"128 details from a picture (Halifax 1978)","Richter, Gerhard",10908,tLkzAQAAIAAJ,https://books.google.com/books?id=tLkzAQAAIAAJ
"13 books : (notes on the design, construction & marketing of my last--)","Koren, Leonard; Panter, Gary |",12072,5tnHB8LnNpMC,https://books.google.com/books?id=5tnHB8LnNpMC
"1492 : what is it like to be discovered?","Jaffe, Maggie; Small, Deborah",12065,h1tcAAAAMAAJ,https://books.google.com/books?id=h1tcAAAAMAAJ
"15. Juni 1999/July 27, 1999 : Love letter to Gutenberg","Lollis, Cynthia; Deeg, Daniela",12071,7-ZMHAAACAAJ,https://books.google.com/books?id=7-ZMHAAACAAJ
2013,"Bel, Jonás; Trapiello, Rafael",9731,6C_SoAEACAAJ,https://books.google.com/books?id=6C_SoAEACAAJ
2013,"Bel, Jonás; Trapiello, Rafael",9731,LLQYoAEACAAJ,https://books.google.com/books?id=LLQYoAEACAAJ
