itemKey,title,creators,year,ISBN,OCLC,url
XUKZQZKP,Ajam Media Collective,,,,,https://ajammc.com/
CLS2UE9V,"American bookworks in print / Osborn, Kevin.",Anne-Catherine Fallen; Md ) Writer's Center (Bethesda; United States Information Agency.,1984,,,
NS2F8TKC,Art of the contemporary book :,John J. Taormina; Ohio State University,1991,,,
BEGEG5AI,Artists books,Dianne Perry Vanderlip; John Perreault; Lynn Lester Hershman,1973,,,
DMWUAK2R,Avant-Garde,Roma (Author) Libreria Maresca Riccardi,0000,,,
IEWF6KH8,Azimuts: revue de design. (intentions de textes et d'images),Ecole des beaux-arts de Saint-Etienne (France),1995,,,
EXVACFS7,"Book as art VI: December 6, 1993-May 20, 1994, the National Museum of Women in the Arts, Washington, D.C.",Krystyna Wasserman; National Museum of Women in the Arts (U. S.); National Museum of Women in the Arts (U.S.).,1993,,,
T7X9H33Q,"Book as art: 10th anniversary exhibition ; National Museum of Women in the Arts, Library and Research Center, March 10 - October 4, 1997, Washington, D.C.",Krystyna Wasserman; National Museum of Women in the Arts (U. S.),1997,,,
JE7GEGCC,Book as Art: [catalog].,National Museum of Women in the Arts (U. S.); Library and Research Center.,1993,,,
VX98NX26,"Books as objects / Vogler, Donald.",Harriet Bart; Comus Gallery,1993,,,
VCY83FB6,"Contemporary fine press, illustrated & artists' books.",Granary Books (Firm),1989,,,
5TL8QRXI,"Contemporary fine press, illustrated and artists' books.",New York Granary Books,1989,,,
KK7KVWQT,Design Indaba,,,,,https://www.designindaba.com/
L9X9GLZ5,Die Bücher der Künstler :,Michael Glasmeier; Institut für Auslandsbeziehungen (Stuttgart),1994,,,
8UFB9EAX,"Maurizio Nannucci, a la fin trouver le mot du commencement: Bibliothèque nationale de France/Paris editions 1966-1994: multiples, catalogues, livres d'artiste ... Galerie Colbert ... 29 juin-9 septembre 1994 / Moeglin-Delcroix, Anne.",Maurizio Nannucci; Galerie Colbert (Bibliothèque nationale (France)),1994,,,
LGJRG4AG,Missing p[a]ges: Idaho & the book.,Idaho Center for the Book,1994,,,
5JWH4AMJ,Offset : artists' books & prints.,Brad Freeman; Johanna Drucker; Granary Books (Firm); publisher Inter Planetary Productions; Joseph W. Ruther; Todd Walker,1993,,,
MJWXHUAG,Temptations :,Krystyna Roscio Wasserman; National Museum of Women in the Arts (U. S.); National Museum of Women in the Arts (U.S.).,2002,,,
2PCL8KS8,The Altered page :,Book Arts Gallery,1988,,,
TA7Z89TE,The artist publisher: a survey,"Coracle Press; Crafts Council Gallery (London, England)",1986,,,
8P5Z9WBB,"The mindful page / Pace, Richard.",Gary Richman; Hera Educational Foundation,1987,,,
