itemID,itemKey,itemType,dateAdded,dateModified,title,abstractNote,date,publisher,place,volume,numberOfVolumes,edition,series,seriesNumber,numPages,pages,ISBN,ISSN,url,accessDate,language,shortTitle,libraryCatalog,callNumber,archiveLocation,rights,extra,publicationTitle,bookTitle,websiteTitle,university,collections
2909,EUF6LPNM,book,"2019-07-30 19:29:00","2025-09-03 17:00:53","43, according to Robin Price : with annotated bibliography [deluxe edition]",,"2009-00-00 2009","Robin Price","Middletown, CT",,,,,,"[32] p. : maps ; 30 cm. + legend card + annotated bibliography ([32]",,"0-924433-12-4 978-0-924433-12-2",,http://www.worldcat.org/oclc/965923726,,,,,,,,,,,,,"ABCI; Artists' books; Reference resources"
2910,JJ379BZA,book,"2019-07-30 19:29:00","2025-09-03 17:00:53","43, according to Robin Price : with annotated bibliography",,"2008-00-00 2008","Robin Price","Middletown, CT",,,,,,"[32] p. : maps ; 30 cm. + legend card + annotated bibliography ([32]",,"0-924433-12-4 978-0-924433-12-2",,http://www.worldcat.org/oclc/1051632303,,,,,,,,,,,,,"ABCI; Artists' books; Reference resources"
3641,G96LTDG9,book,"2019-07-30 19:27:12","2019-07-30 19:37:15","Tom Phillips: works, texts to 1974.",,"1975-00-00 1975","H. Mayer","Stuttgart ; London ; Reykjavik",,,,,,284,,,,,,English,"Tom Phillips","OCLC WorldCat FirstSearch",,,,,,,,,"Reference resources"
3642,GJCBWZTJ,book,"2019-07-30 19:27:12","2019-07-30 19:37:15","Tom Phillips, works and texts",,"1992-00-00 1992","Thames and Hudson","London ; New York, N.Y.",,,,,,296,,0-500-97402-0,,,,English,,"OCLC WorldCat FirstSearch",,,,,,,,,"Reference resources"
3643,C6EUQXSW,book,"2019-07-30 19:27:12","2019-07-30 19:37:15","The Themersons and the Gaberbocchus Press: an experiment in publishing, 1948-1979: [exhibition] / Strauss, Monica J.",,"1993-00-00 1993","MJS Books & Graphics","New York",,,,,,96,,0-9639239-0-0,,,,English,"The Themersons and the Gaberbocchus Press","OCLC WorldCat FirstSearch",,,,,,,,,"Reference resources"
3644,2TL82ZH6,book,"2019-07-30 19:27:12","2019-07-30 19:37:15","Women of the book : Jewish artists, Jewish themes","96 p. : ill. (some col.) ; 23 cm.","2001-00-00 2001","Friends of the Libraries, FAU Library","Boca Raton, Fla.",,,,,,,,978-0-9706189-0-0,,,,,"Women of the book",,,,,,,,,,"Reference resources"
3645,TWI7C9MN,book,"2019-07-30 19:27:12","2019-07-30 19:37:15","When will the book be done? : Granary's books",,"2001-00-00 2001","Granary Books","New York",,,,,,,,"1887123431 (pbk. : alk. paper)",,,,,"When will the book be done?",,,,,,,,,,"Reference resources"
3646,6QJ3APUK,book,"2019-07-30 19:27:12","2019-07-30 19:37:15","What is?: nine epistemological essays","""Johanna Drucker is the inaugural Breslauer Professor of Bibliographical Studies in the Department of Information Studies at UCLA. She is internationally known for her work in the history of graphic design, typography, experimental poetry, fine art, and digital humanities. In addition, she has a reputation as a book artist, and her limited edition works are in special collections and libraries worldwide""--Statement from Cuneiform Press (viewed on Vamp & Tramp website August 21, 2014).","2013-00-00 2013","Cuneiform Press","[Victoria, Texas]",,,,,,,,"978-0-9860040-2-5 0-9860040-2-2",,,,English,"What is?","Open WorldCat",,,,,,,,,"Reference resources"
3647,UI2S6CP9,book,"2019-07-30 19:27:12","2019-07-30 19:37:15","Unshelfmarked : reconceiving the artists' book","174 pages : illustrations ; 24 cm","2015-00-00 2015","Uniform Books",Devon,,,,,,,,978-1-910010-06-8,,,,,Unshelfmarked,,,,,,,,,,"Reference resources"
3648,23XXDBF4,book,"2019-07-30 19:27:12","2019-07-30 19:37:15","Two decades of Hamady and the Perishable Press Limited: an anecdotally annotated check list for an exhibition at Gallery 210, University of Missouri/St. Louis, 3 October 1984 to 4 November 1984 entitled: Hamady's Perishable Press, a 20th anniversary sampling of handcrafted books.",,"1984-00-00 1984","Perishable Press","Mt. Horeb, WI",,,,,,,,,,,,English,"Two decades of Hamady and the Perishable Press Limited","OCLC WorldCat FirstSearch",,,,,,,,,"Reference resources"
3649,AAZM5Y3X,book,"2019-07-30 19:27:12","2019-07-30 19:37:15","The photobook : a history",,"2004-00-00 2004",Phaidon,"London ;New York",,,,,,,,"0714842850 (v. 1)",,,,,"The photobook",,,,,,,,,,"Reference resources"
3650,RNEBW4BM,book,"2019-07-30 19:27:12","2019-07-30 19:37:15","The New storytellers: one of a kind artists' books in Boston libraries and museums: [exhibition] September 16-October 31, 1996, Widener Memorial Rotunda, Widener Library, Harvard University",,"1996-00-00 1996","Houghton Library","Cambridge, Mass.",,,,,,8,,,,,,English,"The New storytellers","OCLC WorldCat FirstSearch",,,,,,,,,"Reference resources"
3651,8P5Z9WBB,book,"2019-07-30 19:27:12","2019-07-30 19:37:15","The mindful page / Pace, Richard.",,"1987-00-00 1987","New England Foundation for the Arts","[Cambridge, Mass.]",,,,,,,,,,,,English,,"OCLC WorldCat FirstSearch",,,,,,,,,"Reference resources"
3652,WC9LK5NC,book,"2019-07-30 19:27:12","2019-07-30 19:37:15","The Malik-Verlag, 1916-1947: Berlin, Prague, New York: an exhibition / Heller, Steven.",,"1984-00-00 1984","New York : Goethe House New York ; Madison, N.J. : Madison Campus Library, Fairleigh Dickinson University",,,,,,,85,,,,,,English,"The Malik-Verlag, 1916-1947","OCLC WorldCat FirstSearch",,,,,,,,,"Reference resources"
