abcItemKey,citedItemKey,method,confidence,review,abcTitle,citedTitle
SY5RIFMP,,none,0.000,,"Your leader could be a tyrant, how to tell",
F23C6QZJ,,none,0.000,,Ul'nigid',
4R2N4PWW,,none,0.000,,Toxic campus map,
3RZ2C63A,,none,0.000,,The tapestry of dreamweaver,
43CVMICH,,none,0.000,,Tentativa de la razón,
ZI9DL79A,,none,0.000,,Spectacles for the short sighted. 1. Masks as agents of social control,
RRAI2QGW,,none,0.000,,Soñé que el paisaje me miraba = : I dreamt that the landscape was looking at me,
2NYJAKLA,,none,0.000,,Self,
2YN8QKAX,,none,0.000,,Rain day,
48AHMBTH,,none,0.000,,Púlsares : ensayo para un bosque,
52GSDNZF,,none,0.000,,Prawie każda róża na barierkach przy Sejmie,
PSPHWMIM,,none,0.000,,Pequeña voz,
EQ5SUU2I,,none,0.000,,Other ways of knowing,
HF8DCWSM,,none,0.000,,NERTM (New earth resiliency training module).,
25B2EUK7,YV3XHZFQ,fuzzy,0.780,yes,Metamorfosis,Metamorphosis
QYRC42SU,,none,0.000,,Memories that smell like gasoline,
YHE9JZF7,,none,0.000,,Las urracas,
2NGLAAYW,,none,0.000,,LandEscape.,
LKGIJNJ7,,none,0.000,,Korean traditional door patterns.,
LRD6FCIV,,none,0.000,,I love you : an artbook,
99EMTLY4,,none,0.000,,Gráfica y palabra zapatista.,
QTA2F867,,none,0.000,,Golden Lotus,
KM8AVRRW,,none,0.000,,From her(e) to now(here),
9CEDU8RT,,none,0.000,,For the transgression of ignoring the golden rules of intimate relations,
EAQWQBAP,,none,0.000,,Flop : art and arguments,
YFL65QCK,,none,0.000,,Extremely visible : art and artifacts of the Helms era,
HQ822BU9,,none,0.000,,El nahual,
KJS25GIV,,none,0.000,,El mundo,
ITG942QS,,none,0.000,,El fabricante de arco iris,
ILIBVN2K,,none,0.000,,El comienzo del final.,
6L3JZ96S,,none,0.000,,El cerebro,
5J3V6NGK,,none,0.000,,Codex mundi : escritura fractal II (con cuadratura numérica del hexagrama),
L52JULIS,,none,0.000,,Chile project : re-classified,
599Q83FU,,none,0.000,,Buildup,
22TSL3K2,,none,0.000,,"Bagno book, or, All for alum, or, Artifacts that tell the story of religious tolerance and enslavement to fuel Medici trade aspirations in the Mediterranean Basin, with ghosting",
UNHRR465,ZF3UJ73X,isbn,1.000,,Arguments,Arguments
KAENUH8A,,none,0.000,,An alphabetical accumulation of approximate observations,
XTJAJ37U,,none,0.000,,After,
9N4B4C7A,,none,0.000,,Ácratas,
X9FJLQ27,,none,0.000,,A walled garden : a history of the Spandau garden in the time of the architect Albert Speer,
Q5WDSUDE,,none,0.000,,A la sombra de un naranjo,
BINBCVI8,,none,0.000,,5 sur : recuerdos en la frontera,
CFNXQV37,,none,0.000,,23 proofs for existence of the past : book 54m,
N94HZX47,,none,0.000,,El 7 plagas,
Y2MQKHFR,,none,0.000,,,
B2KZWKED,,none,0.000,,Egregor,
U6VVGN47,,none,0.000,,Dis-Cover,
VVJYRH58,,none,0.000,,Diario de las islas,
7UHC8UPQ,,none,0.000,,Deep time,
9MQS4NXM,,none,0.000,,,
BJ76PM5H,,none,0.000,,Conjurar el fósil,
IFM99WUS,,none,0.000,,Conjugacion de apocalipsir,
S2S73BHB,,none,0.000,,Cirkut,
7DU84Q8C,,none,0.000,,"(El cielo está, por encima del techo, / tal azul, tan calmo)",
VDA82B6V,,none,0.000,,And so forth / Richard Kostelanetz.,
GT82LS4U,,none,0.000,,Ron's world,
GUBA5JU7,,none,0.000,,Mi ojo,
