lib1Key,lib1Title,twinTitle,decision,notes
ZI9DL79A,Spectacles for the short sighted. 1. Masks as agents of social control,Spectacles for the short sighted : 1. masks as agents of social control,same,
25B2EUK7,Metamorfosis,Metamorphosis,unsure,if by Pablos in 2020 it is the same book and the libtitle spelling is correct but it is a common title in art related books
GT82LS4U,Ron's world,Ron's world,same,
B9X5MTPV,Hover,Hover,same,
SEHLKI4V,Avalanche.,Avalanche,same,
6XUUG9TX,Holy holy art cards : fancy assorted Christmas selection,Holy holy art cards [realia] : fancy assorted Christmas selection,same,libtitle correct
VY22TT3H,La felicidad : America Latina,La felicidad : America Latina,,
RYZJVH45,Ohio,Ohio,same,
57SFZM92,Room : O-MI Motel,Room : O-MI Motel,,
WA4E2BQF,"Three valleys : the valleys of Silicon, San Joaquin, and Death, February 12-26","Three valleys : the valleys of Silicon, San Joaquin, and Death, February 12-26",,
VFM823G8,Upstate,Upstate,,
EB82UPEB,Michigan,Michigan,,
BHKESI49,The anatomy of business,The anatomy of business,,
W6ZKNF2N,"III, Self publish, be happy book club","III, Self publish, be happy book club",,
TBSWMXFY,War cut,War cut,,
XIVAMUV4,The tonalities of grief : Kirov's notes for his fall 2008 lectures on stoicism,The tonalities of grief : Kirov's notes for his fall 2008 lectures on stoicism,,
CFMRJ8E5,"Patterns : divided, mirrored, repeated","Patterns : divided, mirrored, repeated",,
DIJW9DJP,Elvis Road,Elvis Road,,
BJ3JHZL4,María ríe por dentro : un relato,María ríe por dentro : un relato,,
X3YPGDHF,Descendant,Descendant,same,
I6MG6652,Odios falsos,Odios falsos,,
S2J565HG,"El Tambor de Ayapá ; y, Nokán y el Maíz","El Tambor de Ayapá ; y, Nokán y el Maíz",,
Z72XVV7K,"Bicentenaire, Trouillot","Bicentenaire, Trouillot",,
WNP5J3KM,Glorieta sin agua,Glorieta sin agua,,
KDRDUZLM,The complex of all of these,The complex of all of these,,
88A8V9DI,Time i$,Time i$,,
XQERHAH7,Heath course pak rfc,Heath course pak rfc,,
LEXZ7EP2,The bowl and the book,The bowl and the book,same,
PX2H4BDY,James Franco : the dangerous book four boys,James Franco : the dangerous book four boys,,
AYSA8R9B,To place. Haraldsdóttir. Part two,To place. Haraldsdóttir. Part two,,
GGZNZJ8A,Color codes,Color codes,,
ESWIXCA6,Etceteras,Etceteras,,
S44L2ZCK,"Query, quest, & quasi","Query, quest, & quasi",,
8YCFRFW8,Addresses,Addresses,,
P95PLJW5,Gone fishing.,Gone fishing.,,
V8KPNIKP,Redheaded Peckerwood,Redheaded Peckerwood,,
HUYC2TBK,Everything I kept = Todo lo que guarde,Everything I kept = Todo lo que guarde,,
33JWVV7Q,The myth of the airborne warrior,The myth of the airborne warrior,,
75ID8547,"Fatima, o, el Parque de la Fraternidad = Fatima of Fraternity Park","Fatima, o, el Parque de la Fraternidad = Fatima of Fraternity Park",,
385EZZS9,Lexicon,Lexicon,,
F3GWMWBB,Tulips,Tulips,,
KW8IIK8K,One family of objects = Jedna skupina předmětů,One family of objects = Jedna skupina předmětů,,
UWECJBE9,Feria congelada,Feria congelada,,
PJNQPYA5,Alicia en el país de la danza,Alicia en el país de la danza,,
XXAAB5RL,Motivos persas,Motivos persas,,
AZLNYTA7,Jet master : a visual strategy,Jet master : a visual strategy,,
HSPHNPJG,Nox,Nox,same,
8RRG74G4,Walking through : meditations on the ordinary,Walking through : meditations on the ordinary,,
AJF59VWN,Portable document format,Portable document format,,
ABSVKV2A,Postcards,Postcards,same,if author is Alys
SEG3BXNC,Wrong size fits all : miracles and mishaps,Wrong size fits all : miracles and mishaps,,
6J8FLDSD,Gravity,Gravity,,
3XMSAG9I,Vaivén,Vaivén,,
