lib1Key,twinKey,twinLib,method,confidence,review,lib1Title,twinTitle,decision,notes
25B2EUK7,YV3XHZFQ,3,fuzzy,0.780,yes,Metamorfosis,Metamorphosis,unsure,"if by Pablos in 2020 it is the same book and the libtitle spelling is correct but it is a common title in art related books"
SEHLKI4V,W94QUT49,3,fuzzy,0.900,yes,Avalanche.,Avalanche,same,
LEXZ7EP2,23ZX86U5,3,fuzzy,0.890,yes,The bowl and the book,The bowl and the book,same,
39I6WP85,CITV8AEX,3,fuzzy,0.737,yes,Kidnapping mountains,Kidnapping mountains / by Slavs and Tatars.,same,
WDXCLLBJ,FP6DK7TH,2,fuzzy,0.890,yes,Ingres and other parables.,Ingres and other parables.,same,
9566N2AN,C4NIKENC,3,fuzzy,0.805,yes,"Richard Long : South America, 1972.","South America, 1972.",same,proper title should be South America
H9RXTD3X,G6XSHFBY,3,fuzzy,0.890,yes,The practical speller : a manual of instruction in the rudiments of the English language,The practical speller : a manual of instruction in the rudiments of the English language,same,""
2RFFS5BN,5DKQPFEP,3,fuzzy,0.890,yes,Arbitra,Arbitra,same,"needs unique material tag"
437HJJRW,9LXMIWCK,3,fuzzy,0.890,yes,"En tierra, hilando vientos","En tierra, hilando vientos",same,
3475W58I,4L3ATHTH,3,fuzzy,0.890,yes,Googled English frontier deedbook,Googled English frontier deedbook,same,needs unique material tag
D9VQPSUU,FH34XFCA,3,fuzzy,0.925,yes,Bobby : book nr. 100,Bobby : book number 100,same,
Z7E9RQD8,654GPFBP,3,fuzzy,0.890,yes,Analemmic : an equation of time,Analemmic : an equation of time,same,
Q9FVYBSE,X8LKY6MI,3,fuzzy,0.900,yes,Groar! : (14 poemas-fósforo),Groar! : (14 poemas-fósforo),same,
6M5DVI7W,6VNU3QEK,2,fuzzy,0.890,yes,Shadowed memory,Shadowed memory,unsure,same if author is Grant or Hill
96994UU5,M63K56HX,3,fuzzy,0.890,yes,Words of Chan K'in : Lacandon jungle,Words of Chan K'in : Lacandon jungle,same,"english language version other version has different title"
YJJPTV8A,TXCAX8PB,3,fuzzy,0.890,yes,The 24 hour self portrait.,The 24 hour self portrait,same,
4KEA7MUE,FSEW2GM5,3,fuzzy,0.890,yes,[I love you].,[I love you].,same,
9JB7XNFQ,S4QU9XAW,3,fuzzy,0.890,yes,Identity.,Identity,same,
GE5LNEJX,65JGRC8Z,3,fuzzy,0.890,yes,Making stuff and doing things.,Making stuff and doing things.,same,
2N4EKVGN,8AGMUSAL,3,fuzzy,0.900,yes,Shirana Shahbazi : monstera,Shirana Shahbazi : monstera,same,
CUBVR2YD,UV3QGUM3,3,fuzzy,0.900,yes,The fortune teller,The fortune teller,same,
M69CN3AD,MPU5CXQ8,3,fuzzy,0.833,yes,Mirrors,Mirroirs,same,
