canonicalKey,canonicalLib,held,sourceKeys,title,date,publisher,place,ISBN,ISSN,language,numPages,edition,series,seriesNumber,callNumber,url,extra,shortTitle,creators
Y2MQKHFR,1,true,1:Y2MQKHFR,,2011-00-00 2011,Hatje Cantz Verlag ; Art Gallery of Alberta,"Ostfildern, Germany ;  Edmonton, Alta.",,,English,,,,,N6549.C358 A4 2011,https://catalog.lib.unc.edu/catalog/UNCb7053995,,,"Janet, 1957- Cardiff; George Bures, 1960- Miller; Germany) Hamburger Bahnhof (Exhibition hall : Berlin; Art Gallery of Alberta; Centro de Arte Contemporânea Inhotim"
9MQS4NXM,1,true,1:9MQS4NXM,,,,,,,,,,,,,,,,
EN42444Z,3,,3:EN42444Z,,,,,,,,,,,,,,,,
NERXSW2E,3,,3:NERXSW2E,,,,,,,,,,,,,,,,
657C6HGB,3,,3:657C6HGB,,,,,,,,,,,,,,,,
7KVV2C6R,3,,3:7KVV2C6R,,,,,,,,,,,,,,,,
UM2HRVK3,3,,3:UM2HRVK3,,,,,,,,,,,,,,,,
UWWTV2WA,3,,3:UWWTV2WA,,,,,,,,,,,,,,,,
Z8JS82W4,2,,2:Z8JS82W4,!En búsqueda de Charizard!,2014-00-00 2014,Cazuela Comics,"Santiago, Chile",,,,,Primera edición.,,,,,,,Asertijo; Ken Sugimori
KRQWR5FB,3,true,3:KRQWR5FB; 2:XCG3C3R9; 1:86YAACKX,"""A declaration of dependence""",1975-00-00 1975,J. Romeu,S.l.,,,,,,,,,,,,Joost Romeu
A6JB2RQU,3,,3:A6JB2RQU; 2:QP5ZU65D,"""A""-9 : futura 5",1966-00-00 1966,Edition Hansj̈rg Mayer,[S.l.],,,,,,,,,,1 folded sheet ; 63 x 47 cm. folded to 24 x 16 cm.,,Louis Zukofsky
5YQRS4MX,3,,3:5YQRS4MX; 2:KN5E4XFC,"""Cinema""",1988-00-00 1988,Imschoot,"Ghent, Belgium",978-90-72191-03-8,,English,,,,,,http://www.worldcat.org/oclc/901644961,,,Albert Mertz
HQN5HH5Z,3,true,3:HQN5HH5Z; 2:JJ5IT6V6; 1:GFI2FYY8,"""De lo que no se puede hablar, hay que callar"" : última proposición del Tractatus Logico-Philosophicus de Wittgenstein reescrita en cajeros del supermercado.",2014-00-00 2014,Kitschic Ediciones,"Bogotá, Colombia",,,,,,,,,,,"""De lo que no se puede hablar, hay que callar""",Clara-Iris Ramos
6H5ZVHFQ,3,,3:6H5ZVHFQ; 2:TINGS7R4,"""Diagnosis""",1979-00-00 1979,Gene B. Beery,"Sutter Creek, CA",,,,,,,,,,,,Gene B. Beery
