canonicalKey,assetId,ssid,status
226R6HJK,SS33469_33469_42526544,13604309,ok
22WD8W35,SS33469_33469_42529261,19307712,ok
23ZX86U5,SS33469_33469_42527213,14826716,ok
24HSZQI4,SS33469_33469_42529351,19376713,ok
24YJ4MQA,SS33469_33469_15286134,638955,ok
263JJYU2,SS33469_33469_42526640,13971620,ok
26B9TB5J,SS33469_33469_42530085,21091406,ok
28QX2N42,SS7729445_7729445_8828838,1489065,ok
29KNQX5X,SS33469_33469_42530046,21083084,ok
2BBEMJ2K,SS33469_33469_42529307,19313413,ok
2D9X89XX,SS33469_33469_15911438,641046,ok
2DZL4S9B,SS33469_33469_42527866,15144568,ok
2FMAJ6SK,SS33469_33469_42527356,14904629,ok
2GVG6DPZ,SS33469_33469_42525467,12762420,ok
2H3NPASA,SS33469_33469_42528970,18883819,ok
2J3IRJKT,SS33469_33469_42529242,19260826,ok
2KM7HSNE,SS33469_33469_24948988,693084,ok
2LGSRZH3,SS33469_33469_42529150,19104177,ok
2LXQB54Q,SS33469_33469_41542810,22686131,ok
2N5AY2W9,SS33469_33469_42527942,16205688,ok
2PSMHYVM,SS33469_33469_42526716,14172144,ok
2RANA3EA,SS33469_33469_42526361,13412076,ok
2TR675BK,SS33469_33469_15753890,641049,ok
2UNTGYB4,SS33469_33469_42528770,18433695,ok
2V9PKH9N,SS33469_33469_42525638,12833262,ok
2VCP48MT,SS33469_33469_15286211,639174,ok
2W368KM7,SS33469_33469_42526600,13693714,ok
2X8EKNSF,SS33469_33469_1721192,512704,ok
2XB9ZKKA,SS33469_33469_42526501,13529431,ok
2XJTKRCU,SS33469_33469_42530368,21804662,ok
2XTG4RQU,SS33469_33469_42526917,14309984,ok
2Y3CWMAR,SS33469_33469_42527338,14904618,ok
2Y74UZ69,SS33469_33469_42525348,12596730,ok
2YERIMK2,SS33469_33469_25367820,924818,ok
2YMWW5GN,SS33469_33469_25096603,694990,ok
32FH4LTM,SS33469_33469_42525972,13083375,ok
336ZZN7S,SS33469_33469_42529055,19101405,ok
344DUV4F,SS33469_33469_42530093,21091410,ok
352ML323,SS33469_33469_42530228,21554285,ok
367HVISM,SS33469_33469_42530157,21262147,ok
37P86AJJ,SS33469_33469_43589245,23957460,ok
37UZIWDB,SS33469_33469_42526825,14290384,ok
38AVYUMK,SS33469_33469_42528069,16493155,ok
39HJAM45,SS33469_33469_42529621,20634627,ok
39QV7IXD,SS33469_33469_42529564,20473288,ok
3A3YZS7V,SS33469_33469_42525785,12909016,ok
3B52UMXI,SS33469_33469_42526690,14172131,ok
3DAHFTMR,SS33469_33469_42525181,12498998,ok
3EL2W3SF,SS33469_33469_42530354,21804660,ok
3GXJDW6J,SS33469_33469_24873930,679505,ok
3HFE75EE,SS33469_33469_41621173,22831050,ok
3HWTCL2E,SS33469_33469_42526094,13142376,ok
3JM8WQ5E,SS33469_33469_42529998,21034134,ok
3KUNMIBP,SS33469_33469_25066402,694947,ok
3KX9RY53,SS33469_33469_42527185,14631062,ok
3LSS2JHE,SS33469_33469_42527878,16069571,ok
3MJU4XL3,SS33469_33469_1721131,512702,ok
3MWNMK26,SS33469_33469_42530447,21821573,ok
3Q5EQVVJ,SS33469_33469_42527271,14898633,ok
3QNPUMQK,SS33469_33469_42527281,14898638,ok
3QXCAUBS,SS33469_33469_42529112,19103868,ok
3QXLXM2L,SS33469_33469_42526582,13691457,ok
3RK6L8N4,SS33469_33469_42525306,12543688,ok
3S6VEBTX,SS33469_33469_15590687,2425477,ok
3T953P55,SS33469_33469_42524928,11940900,ok
3TWQ5NBE,SS33469_33469_25454478,947485,ok
3VINCA44,SS33469_33469_42528039,16493151,ok
