refKey,refTitle,bookKey,bookTitle,verbatim,decision,notes
BEGEG5AI,Artists books,223XB7SC,The Final Nile Journey,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.129.",no,
BEGEG5AI,Artists books,282J7DE7,How long?,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.99.",no,
BEGEG5AI,Artists books,2P2UMVUV,Litolattine,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. pp.152-153.",no,
BEGEG5AI,Artists books,2ZDTM2HT,Sleeping inside the glacier,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. pp.142-143.",no,
BEGEG5AI,Artists books,33K2SVYM,After water aerobics,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.69.",no,
BEGEG5AI,Artists books,3B7DURXM,Caroline: Gedichte und Radierungen,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.154-155.",no,
BEGEG5AI,Artists books,3FWNVG5F,On a Darkling Plain,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. pp.110-111.",no,
BEGEG5AI,Artists books,3J6JT8P8,Dido and Aeneas: an opera perform'd at Mr. Josias Priest's boarding-school at Chelsey by young gentlewomen,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.178.",no,
BEGEG5AI,Artists books,3VIWIHZZ,A merz sonata,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. pp.160-161.",no,
BEGEG5AI,Artists books,3W4Q5CKA,Endless Book,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.183.",no,
BEGEG5AI,Artists books,3Z5YAUCX,Eight slices of pie,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. pp.66-67.",no,
BEGEG5AI,Artists books,4NNHFYRT,On the line,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.48-49.",no,
BEGEG5AI,Artists books,4X5YJ8WM,The book of warnings,"Ruben, Robert J. Beyond the Text: Artists' Books fromthe Collection of Robert J. Ruben. New York: Grolier Club, 2010. pp. 92, 93.",no,
BEGEG5AI,Artists books,4YCIDKP7,Book in a Cage,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.113.",no,
BEGEG5AI,Artists books,58Z6JJFW,"Wonder Production, Volume I","Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. pp.96-97.",no,
BEGEG5AI,Artists books,5QDFCSDU,The Dream of the Dirty Woman: a play in one act based on a dream of Elka Schumann : with a record of the performance.,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.89.",no,
BEGEG5AI,Artists books,5WYLXWSP,Endangered species,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. pp.104-105.",no,
BEGEG5AI,Artists books,63H56EGP,Five luminous towers,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.132-133.",no,
BEGEG5AI,Artists books,67RGAFXK,Art History Lessons,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. pp.86-87.",no,
BEGEG5AI,Artists books,6K26QUUI,Hieroglyph,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.157.",no,
BEGEG5AI,Artists books,6XDKGS65,British Museum Memoir,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.80-81.",no,
BEGEG5AI,Artists books,7TTX3A4F,The Diary of a Sparrow,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.126-127.",no,
BEGEG5AI,Artists books,85XC3VTW,After the deluge: the post-Ark report,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.53.",no,
BEGEG5AI,Artists books,8HTLFLYB,The Great Wall,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. pp.148-149.",no,
BEGEG5AI,Artists books,8RE9B2Q3,Waltzing Matilda,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.138.",no,
BEGEG5AI,Artists books,9CYT2PBI,The Gynecologist,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.65.",no,
BEGEG5AI,Artists books,9EF6QUKN,Privacy,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. pp.36-37.",no,
BEGEG5AI,Artists books,9T8UFUH5,Soap story : an artist's book,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.45.",no,
BEGEG5AI,Artists books,9VYSGLIC,Glove story,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. pp.39.",no,
BEGEG5AI,Artists books,ADU5Y5A2,Tunnel Map,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.130.",no,
BEGEG5AI,Artists books,ANLG9WWW,The Misfits,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.175.",no,
BEGEG5AI,Artists books,AR65J8BY,La vida desaventurada de Doña Carmen y Costanza = The Uneventful Life of Doña Carmen y Constanza,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. pp.42-43.",no,
BEGEG5AI,Artists books,ATDK9QUI,Small gifts,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. pp.164-165.",no,
