status,refKey,refTitle,bookKey,bookTitle,method,confidence,onPages,imagePages,verbatim
blocked,BEGEG5AI,Artists books,223XB7SC,The Final Nile Journey,substring,0.950,,129,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.129."
emitted,GDNNXY63,Artists' Books: Visual Studies Workshop Press,226R6HJK,Far horizons,substring,0.990,"78, 164",,"Lyons, Joan. Artists' Books : Visual Studies Workshop Press. Rochester: Visual Studies Workshop Press, 2009. pp.78, 164."
emitted,SGBJXYRF,Esthétique du livre d'artiste 1960/1980 : une introduction à l'art contemporain,2289N4XG,Moi Ben je signe.,substring,0.990,424,,"Moeglin-Delcroix, Anne. Esthétique Du Livre D’artiste 1960/1980 : Une Introduction à L'art Contemporain. Nouv. éd. rev. et augm. Marseille: Bibliothèque nationale de France, 2012. p.424."
emitted,EYAM3MR5,Creating artists' books,22LHAJ4P,The Slow Reader,substring,0.990,53,54,"Bodman, Sarah. Creating Artists’ Books. New York: Watson-Guptill Publications, 2005. p.53,54."
emitted,XWS4XW55,500 handmade books : inspiring interpretations of a timeless form,235ZSQXX,True to Life,substring,0.990,,161,"Tourtillott, Suzanne J. E, and Steve Miller. 500 Handmade Books: Inspiring Interpretations of a Timeless Form. New York: Lark Books, 2008. p.161."
emitted,GDNNXY63,Artists' Books: Visual Studies Workshop Press,237FZR4X,Our Lady of Victory: Pray for Us,substring,0.990,163,,"Lyons, Joan. Artists' Books : Visual Studies Workshop Press. Rochester: Visual Studies Workshop Press, 2009. pp.163."
emitted,Q77Q8HL7,Peter Downsbrough : the book(s),237V68GJ,En place,substring,0.990,27,"177, 287","Downsbrough, Peter. Peter Downsbrough : the Book(s).Germany: Hatje Cantz, 2011. pp.27, 177, 287."
emitted,R9TPTHIC,"Breaking the bindings : American book art now : an exhibition of creative bookmaking produced in the United States since 1980, Elvehjem Museum of Art, 6 May-3 July 1983.",23PUH42L,Southerly volumes,substring,0.990,,69,"Elvehjem Museum of Art. Breaking the Bindings: American Book Art Now: an Exhibition of Creative Bookmaking Produced in the United States Since 1980, Elvehjem Museum of Art, 6 May-3 July 1983. Madison, Wis.: Elvehjem Museum of Art, 1983. [p.69]."
emitted,DHC5ATH7,Livres d'artistes,24HSLE56,"Aloha Evelyn (selected parts of letters from Aunt Evelyn, volume 58)",substring,0.990,"143, 145",144,"Moeglin-Delcroix, Anne. Livres D’artistes. Paris: BPI, Centre Georges Pompidou, 1985. pp.143, 144, 145."
emitted,A5RE4482,Artists' books : the book as a work of art 1963-2000,24YJ4MQA,Every building on the Sunset Strip.,substring,0.990,"17, 38, 178",45,"Bury, Stephen. Artists’ Books : the Book as a Work of Art 1963-2000. London: Bernard Quaritch Ltd, 2015. pp.17, 38, 45, 178."
emitted,BCG5FURQ,The century of artists' books,24YJ4MQA,Every building on the Sunset Strip.,substring,0.990,"178, 276",179,"Drucker, Johanna. The Century of Artists’ Books. 2nd ed. New York City: Granary Books, 2004. pp.178, 179, 276."
emitted,6QJ3APUK,What is?: nine epistemological essays,24YJ4MQA,Every building on the Sunset Strip.,substring,0.990,33,,"Drucker, Johanna. What Is : Nine Epistemological Essays. [Victoria, Texas]: Cuneiform Press, 2013. p.33."
emitted,94CKQLVX,Artists' books : a critical anthology and sourcebook,24YJ4MQA,Every building on the Sunset Strip.,substring,0.990,46,,"Lyons, Joan. Artists' Books : A Critical Anthology and Sourcebook. Rochester: Visual Studies Workshop Press, 1985. p.46."
emitted,SGBJXYRF,Esthétique du livre d'artiste 1960/1980 : une introduction à l'art contemporain,24YJ4MQA,Every building on the Sunset Strip.,substring,0.990,,,"Moeglin-Delcroix, Anne. Esthétique Du Livre D’artiste 1960/1980 : Une Introduction à L'art Contemporain. Nouv. éd. rev. et augm. Marseille: Bibliothèque nationale de France, 2012. pp.XVII, 20, 38, 249, 250, 434."
emitted,DHC5ATH7,Livres d'artistes,24YJ4MQA,Every building on the Sunset Strip.,substring,0.990,80,79,"Moeglin-Delcroix, Anne. Livres D’artistes. Paris: BPI, Centre Georges Pompidou, 1985. pp.79, 80."
emitted,FAEUXXHV,Booktrek : selected essays on artists' books (1972-2010),24YJ4MQA,Every building on the Sunset Strip.,substring,0.990,"220-221, 225, 228, 265",,"Phillpot, Clive. Booktrek: Selected Essays on Artists’ Books (1972-2010). Zurich: JRP/Ringier, 2013. pp.220-221, 225, 228, 265."
emitted,MN3CW7FZ,Artists and their books - books and their artists,24YJ4MQA,Every building on the Sunset Strip.,substring,0.990,"158, 208",160-161,"Reed, Marcia, and Glenn Phillips. Artists and their books - books and their artists. Los Angeles: The Getty Research Institute, 2018. pp.158, 160-161, 208."
emitted,T5WUKIXI,Multiples: the first decade; [catalogue],24YJ4MQA,Every building on the Sunset Strip.,substring,0.990,94,,"Tancock, John L. Multiples: the First Decade; [Catalogue]. [Philadelphia]: [Philadelphia Museum of Art; distributed by Boston Book and Art, Boston], 1971. p.[94]."
emitted,JV2JKULL,Various small books : referencing various small books by Ed Ruscha,24YJ4MQA,Every building on the Sunset Strip.,substring,0.990,"11, 24, 56, 61, 74, 151","25, 27","Taylor, Phil. Various Small Books: Referencing Various Small Books by Ed Ruscha. Cambridge, Massachusetts: MIT Press, 2013. pp.11, 24, 25, 27, 56, 61, 74, 151."
emitted,E8MAPXUI,Learn to read art: artists' books,24YJ4MQA,Every building on the Sunset Strip.,substring,0.990,10,,"Tousley, Nancy, Felipe Ehrenberg, and Sally Alatalo. Learn to Read Art: Artists' Books. Hamilton, Ont: Art Gallery of Hamilton, 1990. p.10."
emitted,SUH3PR5D,Diamond leaves : artist books from around the world,24YJ4MQA,Every building on the Sunset Strip.,substring,0.990,,69-74,"Xu, Bing, Bingyan Liu, Yue Sun, Marshall Weber, Mark G. Dimunation, Xun Jiang, John Koh, and David Senior. Diamond Leaves: Artist Books from Around the World. Guilin Shi : Guangxi Shi fan da xue chu ban she, 2015. pp.69-74."
emitted,7SFXCRS9,"The book made art : a selection of contemporary artists' books, exhibited in the Joseph Regenstein Library, the University of Chicago, February through April 1986",25B9CTLV,Home sweet home,substring,0.990,25,,"Abt, Jeffrey. The Book Made Art: a Selection of Contemporary Artists' Books, Exhibited in the Joseph Regenstein Library, the University of Chicago, February Through April 1986. Chicago: University of Chicago Library, 1986. p.25.*"
emitted,EXVACFS7,"Book as art VI: December 6, 1993-May 20, 1994, the National Museum of Women in the Arts, Washington, D.C.",25CDHVDN,Documents.,substring,0.990,"7, 9",,"Wasserman, Krystyna. Book As Art VI: December 6, 1993-May 20, 1994, the National Museum of Women in the Arts, Washington, D.C. Washington, D.C: The Museum, 1993. p.[7], [9]."
emitted,XWS4XW55,500 handmade books : inspiring interpretations of a timeless form,25SBBRRX,The Winter Palace,substring,0.990,,266,"Tourtillott, Suzanne J. E, and Steve Miller. 500 Handmade Books: Inspiring Interpretations of a Timeless Form. New York: Lark Books, 2008. p.266."
emitted,SGBJXYRF,Esthétique du livre d'artiste 1960/1980 : une introduction à l'art contemporain,25VIGEVV,Piero Manzoni: life and work,substring,0.990,433,378,"Moeglin-Delcroix, Anne. Esthétique Du Livre D’artiste 1960/1980 : Une Introduction à L'art Contemporain. Nouv. éd. rev. et augm. Marseille: Bibliothèque nationale de France, 2012. pp.378, 433."
emitted,BCG5FURQ,The century of artists' books,262QQCQM,Monday morning movie,substring,0.990,281,,"Drucker, Johanna. The Century of Artists’ Books. 2nd ed. New York City: Granary Books, 2004. pp.281."
emitted,94CKQLVX,Artists' books : a critical anthology and sourcebook,262QQCQM,Monday morning movie,substring,0.990,74-75,58,"Lyons, Joan. Artists' Books : A Critical Anthology and Sourcebook. Rochester: Visual Studies Workshop Press, 1985. p.58, 74-75."
emitted,GDNNXY63,Artists' Books: Visual Studies Workshop Press,26ARMDML,Time Plane,substring,0.990,"100, 146",,"Lyons, Joan. Artists' Books : Visual Studies Workshop Press. Rochester: Visual Studies Workshop Press, 2009. p.100,146."
emitted,SGBJXYRF,Esthétique du livre d'artiste 1960/1980 : une introduction à l'art contemporain,26JNJ9KL,"Berlin ; and, Phenomena",substring,0.990,436,,"Moeglin-Delcroix, Anne. Esthétique Du Livre D’artiste 1960/1980 : Une Introduction à L'art Contemporain. Nouv. éd. rev. et augm. Marseille: Bibliothèque nationale de France, 2012. p.436."
emitted,EYAM3MR5,Creating artists' books,26PVTKVK,Of science & desire,substring,0.990,,"43, 44","Bodman, Sarah. Creating Artists’ Books. New York: Watson-Guptill Publications, 2005. pp.43, 44."
emitted,D2HD5CJR,Speaking of book art : interviews with British and American book artists,26PVTKVK,Of science & desire,substring,0.990,"5, 173, 186",,"Courtney, Cathy. Speaking of Book Art: Interviews with British and American Book Artists. Los Altos Hills, Calif: Anderson-Lovelace, 1999. pp.5A, 173ff., 186."
emitted,GDNNXY63,Artists' Books: Visual Studies Workshop Press,26SG2ZM3,1973 Calendar,substring,0.990,146,,"Lyons, Joan. Artists' Books : Visual Studies Workshop Press. Rochester: Visual Studies Workshop Press, 2009. p.146."
emitted,A5RE4482,Artists' books : the book as a work of art 1963-2000,26YWLSX5,Rough sea: 1972-1975,substring,0.990,"17-18, 197",80,"Bury, Stephen. Artists’ Books : the Book as a Work of Art 1963-2000. London: Bernard Quaritch Ltd, 2015. pp. 17-18, 80, 197."
