cluster,authorityURI,schemes,tags,recs,labels
http://id.loc.gov/authorities/genreForms/gf2017027220.,http://id.loc.gov/authorities/genreForms/gf2017027220.,lcgft,655,997,Artists' books.
http://id.worldcat.org/fast/1750153.,http://id.worldcat.org/fast/1750153.,fast,655,985,Artists' books.
aat|artists-books,,aat,655 650,678,Artists' books. | Artists' books | Artists'books.
aat|artists-books-books,,aat,655 650,636,Artists' books (books) | artists' books (books)
rbgenr|artists-books,,rbgenr,655 650,402,Artists' books | Artists' books. | Artists books
http://id.worldcat.org/fast/1423861.,http://id.worldcat.org/fast/1423861.,fast,655,351,Specimens.
rbmscv|artists-books,,rbmscv,655,318,Artists' books | Artists' books.
(DE-576)210335815,(DE-576)210335815,gnd-content,655,267,Künstlerbuch
(DE-588)4229053-3,(DE-588)4229053-3,gnd-content,655,267,Künstlerbuch
(DE-627)10495146X,(DE-627)10495146X,gnd-content,655,267,Künstlerbuch
http://id.worldcat.org/fast/1423873.,http://id.worldcat.org/fast/1423873.,fast,655,168,Illustrated works.
http://id.loc.gov/authorities/genreForms/gf2014026481.,http://id.loc.gov/authorities/genreForms/gf2014026481.,lcgft,655,146,Poetry.
lcgft|photography-artistic,,lcgft,655,127,"Photography, Artistic."
(DE-576)209741139,(DE-576)209741139,gnd-content,655,115,Bildband
(DE-588)4145395-5,(DE-588)4145395-5,gnd-content,655,115,Bildband
(DE-627)104450835,(DE-627)104450835,gnd-content,655,115,Bildband
lcgft|artists-books,,lcgft,655,101,Artists' books | Artists' books.
(DE-576)209660988,(DE-576)209660988,gnd-content,655,94,Ausstellungskatalog
(DE-588)4135467-9,(DE-588)4135467-9,gnd-content,655,94,Ausstellungskatalog
(DE-627)10566491X,(DE-627)10566491X,gnd-content,655,94,Ausstellungskatalog
http://id.worldcat.org/fast/1424028.,http://id.worldcat.org/fast/1424028.,fast,655,84,Exhibition catalogs.
aat|photobooks,,aat,655,72,Photobooks | photobooks | photobooks.
http://id.worldcat.org/fast/1423828.,http://id.worldcat.org/fast/1423828.,fast,655,70,Poetry.
http://id.loc.gov/authorities/genreForms/gf2014026339.,http://id.loc.gov/authorities/genreForms/gf2014026339.,lcgft,655,66,Fiction.
http://id.worldcat.org/fast/1411628.,http://id.worldcat.org/fast/1411628.,fast,655,58,History.
rbmscv|zines,,rbmscv,655,57,Zines. | Zines
http://id.loc.gov/vocabulary/rbmscv/cv00024.,http://id.loc.gov/vocabulary/rbmscv/cv00024.,rbmscv,655,55,Accordion fold format.
none|artists-books,,,655,52,Artists' books | Artists' books.
abo.org|photographic-sequence,,abo.org,655 650,50,Photographic sequence.
