canonicalKey,canonicalLib,held,sourceKeys,title,date,publisher,place,ISBN,ISSN,language,numPages,edition,series,seriesNumber,callNumber,url,extra,shortTitle,creators
F8ESBPVN,3,,3:F8ESBPVN; 2:U6MMZDRW,"""Artists' bookworks"" = ""Kunstwerke in Buchform"": [a traveling exhibition ... arranged for the Fine Arts Department of the British Council, London",1975-00-00 1975,British Council,London,,,English,,,,,,,,"""Artists' bookworks"" = ""Kunstwerke in Buchform""",Martin. Attwood; British Council.; Fine Arts Department.
DN8GXMLJ,3,,3:DN8GXMLJ; 2:UG6K53ED,"1st Wexford Artists' Book Exhibition 1995: Wexford Arts Centre, 15th May-3rd June.",1995-00-00 1995,The Centre,[Ireland],,,English,,,,,,,,1st Wexford Artists' Book Exhibition 1995,Wexford Arts Centre
87GLZKQK,3,,3:87GLZKQK; 2:SVCHUDPN,"1st Wexford artists' book exhibition, 1995",1995-00-00 1995,Wexford Arts Centre,[Wexford],,,English,2,,,,,,,,Wexford Arts Centre
Z8EH9HSB,3,,3:Z8EH9HSB; 2:TCX25SR6,"2nd Wexford Artists' Book Exhibition / Collins, Denis.",1996-00-00 1996,Wexford Arts Centre,Wexford,,,English,,,,,,,,,Andi Wrexford Arts Centre McGarry
EZG8HSSR,3,,3:EZG8HSSR; 2:BBRX6D8U,3rd Wexford artists' book exhibition.,1997-00-00 1997,Wexford Arts Centre,Wexford,,,English,40,,,,,,,,"Wexford Arts Centre; Basement Gallery (London, England)"
EUF6LPNM,3,,3:EUF6LPNM; 3:JJ379BZA; 2:8DXRSZFE; 2:GC2S6AUF,"43, according to Robin Price : with annotated bibliography [deluxe edition]",2009-00-00 2009,Robin Price,"Middletown, CT",0-924433-12-4 978-0-924433-12-2,,,[32] p. : maps ; 30 cm. + legend card + annotated bibliography ([32],,,,,http://www.worldcat.org/oclc/965923726,,,Robin (Glenna Robin) Price
UFNQZW2L,3,,3:UFNQZW2L; 2:PKPHSIQR,4th Wexford artists' book exhibition.,1998-00-00 1998,Wexford Arts Centre,Wexford,,,English,,,,,,,,,Wexford Arts Centre
XWS4XW55,3,,3:XWS4XW55,500 handmade books : inspiring interpretations of a timeless form,2008-00-00 2008,"New York : Lark Books, c2008.",,978-1-57990-877-5,,,,1st ed.,,,,https://catalog.lib.unc.edu/catalog/UNCb5766594,,500 handmade books,Suzanne J. E. Tourtillott senior editor
AG8A7N6R,3,,3:AG8A7N6R; 2:47T6MP8G,5th Wexford artists' book exhibition.,1999-00-00 1999,Wexford Arts Centre,Wexford,,,English,,,,,,,,,"Wexford Arts Centre; Sun, Moon & Stars Press."
YYY7YVSS,3,,3:YYY7YVSS; 2:KFEF72S7,"<Usus>, typography, and artists' books",2010-00-00 2010,Codex Foundation,"Berkeley, CA",978-0-9817914-1-8 0-9817914-1-7,,English,16,,Codex +1 monograph,4,,,Copy consulted was obtained through Interlibrary Borrowing from Brigham Young University library.,,Ulrike Stoltz; Uta Schneider
