ssid,uuid,datePath,iiifPath,width,height,filename,fileCount,imageViewType,status
13604309,4098b9d0-5940-4763-a354-8edb6f38196c,2016/04/04/20,/iiif/2016/04/04/20/4098b9d0-5940-4763-a354-8edb6f38196c_deflate.tif,2400,1800,Far_horizons1.tif,2,(Cover & interior images),ok
19307712,b453a924-5379-483f-b7a1-9e2625510575,2017/04/04/19,/iiif/2017/04/04/19/b453a924-5379-483f-b7a1-9e2625510575_deflate.tif,2377,2400,line_for_color_cover2.tif,2,(Cover & interior images),ok
14826716,024ce5aa-62ef-4f60-82b0-36726df7dee4,2016/05/23/15,/iiif/2016/05/23/15/024ce5aa-62ef-4f60-82b0-36726df7dee4_deflate.tif,1800,2400,thebowlandthebook1.tif,3,(Cover & interior images),ok
19376713,0b71be7e-2e28-4d3e-97fd-85080672e38a,2017/04/22/14,/iiif/2017/04/22/14/0b71be7e-2e28-4d3e-97fd-85080672e38a_deflate.tif,1780,2400,atlanta_cover2.tif,2,(Cover & interior images),ok
638955,e4ebae7e-bdfa-4356-99e5-2c92912dfefc,2012/07/25/11,/iiif/2012/07/25/11/e4ebae7e-bdfa-4356-99e5-2c92912dfefc_deflate.tif,2112,2668,every building on the sunset strip1.tif,2,(Interior images),ok
13971620,82e3b77b-a7cb-4520-a530-70894dd2c166,2016/04/18/18,/iiif/2016/04/18/18/82e3b77b-a7cb-4520-a530-70894dd2c166_deflate.tif,2400,1800,De_codos1.tif,2,(Cover & interior images),ok
21091406,15551ac7-b261-4fed-8191-85ca9b45ae55,2017/08/07/14,/iiif/2017/08/07/14/15551ac7-b261-4fed-8191-85ca9b45ae55_deflate.tif,1777,2400,kem_dreams_cover2.tif,2,(Cover & interior images),ok
1489065,4a53811e-ace6-44ea-9b8b-49b5560a809b,2022/10/30/20,/iiif/2022/10/30/20/4a53811e-ace6-44ea-9b8b-49b5560a809b_deflate.tif,2400,2280,lines_in_two_directions001.tif,2,(Cover & interior images),ok
21083084,03262c7b-a5e0-4f3b-96c2-2f0f304ffc69,2017/08/02/12,/iiif/2017/08/02/12/03262c7b-a5e0-4f3b-96c2-2f0f304ffc69_deflate.tif,1843,2400,motorcycles_cover3.tif,3,(Cover & interior images),ok
19313413,86211ff4-bfe6-402f-bdb6-58a3be0ed3dd,2017/04/08/12,/iiif/2017/04/08/12/86211ff4-bfe6-402f-bdb6-58a3be0ed3dd_deflate.tif,2245,2400,por_la_banqueta_cover2.tif,2,(Cover & interior images),ok
641046,d6586dfd-547a-4803-8755-2c7b87244a02,2012/07/26/11,/iiif/2012/07/26/11/d6586dfd-547a-4803-8755-2c7b87244a02_deflate.tif,2400,1355,how to make flipbooks1.tif,3,(Cover & interior images),ok
15144568,50a6cc3e-27f4-453f-b8c6-18049f94444a,2016/06/17/11,/iiif/2016/06/17/11/50a6cc3e-27f4-453f-b8c6-18049f94444a_deflate.tif,1800,2400,Pequeña_biblioteca1.tif,2,(Cover & interior images),ok
14904629,eb281b9e-7ba1-4994-9234-359938a4690b,2016/05/27/13,/iiif/2016/05/27/13/eb281b9e-7ba1-4994-9234-359938a4690b_deflate.tif,2400,1800,Lucha_por_la_vida1.tif,2,(Cover & interior images),ok
12762420,72f19158-7bc9-4604-b5ce-f7db36ed4b88,2016/01/25/17,/iiif/2016/01/25/17/72f19158-7bc9-4604-b5ce-f7db36ed4b88_deflate.tif,1800,2400,Los_ciclos_de_nadie1.tif,2,(Cover & interior images),ok
18883819,5d530582-f324-49db-b92f-ea7247fc388d,2017/02/13/12,/iiif/2017/02/13/12/5d530582-f324-49db-b92f-ea7247fc388d_deflate.tif,2400,1969,3_works_cover1.tif,2,(Cover & interior images),ok
19260826,486ef12d-b4c9-498c-9592-ac225b73dbe6,2017/03/30/19,/iiif/2017/03/30/19/486ef12d-b4c9-498c-9592-ac225b73dbe6_deflate.tif,1989,2400,pornotapados_cover1.tif,2,(Cover & interior images),ok
