cluster,authorityURI,schemes,tags,recs,labels
lcsh|artists-books,,lcsh,650,493,Artists' books | Artists books
lcsh|offset-printing-specimens,,lcsh,650,154,Offset printing -- Specimens
http://id.worldcat.org/fast/1044269.,http://id.worldcat.org/fast/1044269.,fast,650,153,Offset printing
http://id.worldcat.org/fast/1204155.,http://id.worldcat.org/fast/1204155.,fast,651,134,United States
lcsh|artists-books-united-states,,lcsh,650,127,Artists' books -- United States
lcsh|artists-books-new-york-state-rosendale,,lcsh,650,105,Artists' books -- New York (State) -- Rosendale | Artists books -- New York (State) -- Rosendale
http://id.worldcat.org/fast/1061964.,http://id.worldcat.org/fast/1061964.,fast,650,93,"Photography, Artistic"
http://id.loc.gov/authorities/subjects/sh85101269.,http://id.loc.gov/authorities/subjects/sh85101269.,lcsh,650,78,"Photography, Artistic"
lcsh|photography-artistic,,lcsh,650,76,"Photography, Artistic | Photography, artistic"
http://id.worldcat.org/fast/817660.,http://id.worldcat.org/fast/817660.,fast,650,70,Artists' books
lcsh|artists-books-specimens,,lcsh,650,63,Artists' books -- Specimens
http://id.worldcat.org/fast/1211700.,http://id.worldcat.org/fast/1211700.,fast,651,43,Mexico
http://id.worldcat.org/fast/996778.,http://id.worldcat.org/fast/996778.,fast,650,37,Letterpress printing
lcsh|letterpress-printing-specimens,,lcsh,650,36,Letterpress printing -- Specimens
(OCoLC)fst00817660,(OCoLC)fst00817660,unspecified fast,650,35,Artists' books
unspecified|artists-books,,unspecified,650,33,Artists' books
http://id.loc.gov/authorities/subjects/sh85085644.,http://id.loc.gov/authorities/subjects/sh85085644.,lcsh,650,31,Miniature books -- Specimens
http://id.worldcat.org/fast/815177.,http://id.worldcat.org/fast/815177.,fast,650,31,Art
lcsh|toy-and-movable-books-specimens,,lcsh,650,30,Toy and movable books -- Specimens
http://id.worldcat.org/fast/1022666.,http://id.worldcat.org/fast/1022666.,fast,650,29,Miniature books
http://id.loc.gov/authorities/subjects/sh2023000629.,http://id.loc.gov/authorities/subjects/sh2023000629.,lcsh,650,25,Artists' books -- Specimens
http://id.loc.gov/authorities/subjects/sh2007101486,http://id.loc.gov/authorities/subjects/sh2007101486,lcsh,650,23,Artists' books -- United States
http://id.worldcat.org/fast/1205614.,http://id.worldcat.org/fast/1205614.,fast,651,22,Argentina
lcsh|conceptual-art,,lcsh,650,22,Conceptual art
http://id.worldcat.org/fast/933256.,http://id.worldcat.org/fast/933256.,fast,650,21,Found objects (Art)
http://id.worldcat.org/fast/1072259.,http://id.worldcat.org/fast/1072259.,fast,650,20,Portrait photography
http://id.worldcat.org/fast/1121467.,http://id.worldcat.org/fast/1121467.,fast,650,19,Small press books
lcsh|artists-books-personal-narratives,,lcsh,650,19,Artists' books -- Personal narratives
(OCoLC)fst01750153,(OCoLC)fst01750153,unspecified,650,18,Artists' books
http://id.loc.gov/authorities/subjects/sh2008112783.,http://id.loc.gov/authorities/subjects/sh2008112783.,lcsh,650,18,Toy and movable books -- Specimens
http://id.loc.gov/authorities/subjects/sh2014002440.,http://id.loc.gov/authorities/subjects/sh2014002440.,lcsh,650,18,Cartonera books
http://id.loc.gov/authorities/subjects/sh85101269,http://id.loc.gov/authorities/subjects/sh85101269,lcsh,650,18,"Photography, Artistic"
http://id.worldcat.org/fast/1153424.,http://id.worldcat.org/fast/1153424.,fast,650,18,Toy and movable books -- Specimens
http://id.worldcat.org/fast/1921898.,http://id.worldcat.org/fast/1921898.,fast,650,18,Cartonera books
lcsh|artists-books-facsimiles,,lcsh,650,18,Artists' books -- Facsimiles
lcsh|concrete-poetry,,lcsh,650,18,Concrete poetry
http://id.worldcat.org/fast/1205362.,http://id.worldcat.org/fast/1205362.,fast,651,17,Chile
http://id.worldcat.org/fast/1896057.,http://id.worldcat.org/fast/1896057.,fast,650,17,Group work in art
lcsh|artists-books-new-york-state-new-york,,lcsh,650,17,Artists' books -- New York (State) -- New York
lcsh|miniature-books-specimens,,lcsh,650,17,Miniature books -- Specimens
http://id.loc.gov/authorities/subjects/sh85008302,http://id.loc.gov/authorities/subjects/sh85008302,lcsh aat,650,16,Artists' books -- New York (State) -- New York | Artists' books | Artists' books -- Minnesota | Artists' books -- Marketing | Artists' books -- Italy | Artists' books -- California | Artists' books -- California -- Specimens
