cluster,labels,include,conceptId,category,prefLabel,exactMatch,note
none|aalst,Aalst,y,aalst-be,geographic-city,Aalst (Belgium),http://id.loc.gov/authorities/names/n81035796,
none|abkhazia-georgia-ethnic-relations,Abkhazia (Georgia) -- Ethnic relations,y,abkhazia-georgia-ethnic-relations,geographic,Abkhazia (Georgia) -- Ethnic relations,,auto-seeded draft; review,""
http://id.worldcat.org/fast/1205406.,Afghanistan,y,afghanistan,geographic-country,Afghanistan,,
http://id.worldcat.org/fast/1239509.,Africa,y,africa,geographic-continent,Africa,,
http://id.worldcat.org/fast/1204694.,Alabama,y,alabama-us,geographic-state-province,Alabama (United States),,
none|alabama-rural-conditions,Alabama -- Rural conditions,y,alabama-rural-conditions,geographic,Alabama -- Rural conditions,,auto-seeded draft; review
http://id.worldcat.org/fast/1243455.,Alaska -- Brooks Range,y,brooks-range,geographic-landmass,"Brooks Range (Alaska, US)",,
http://id.worldcat.org/fast/1226682.,Albania,y,albania,geographic-country,Albania,,
none|albania-foreign-relations-china-pictorial-works,Albania -- Foreign relations -- China -- Pictorial works,y,albania-foreign-relations-china-pictorial-works,geographic,Albania -- Foreign relations -- China -- Pictorial works,,auto-seeded draft; review
(OCoLC)fst01204828,Alberta,y,alberta-ca,geographic-state-province,Alberta (Canada),http://id.worldcat.org/fast/1204828,
none|algeria-history-revolution-1954-1962-pictorial-works,"Algeria -- History -- Revolution, 1954-1962 -- Pictorial works",y,revolution-algeria-1954-1962,event,"Revolution (Algeria : 1954-1962)",https://id.worldcat.org/fast/1354461,
http://id.worldcat.org/fast/1239786.,America,n,,,,,too broad
none|america-history-pictorial-works,America -- History -- Pictorial works,n,,,,,too broad/unspecific
none|amou-daria,Amou-Daria,y,amu-darya,geographic-water,Amu-Darya (River),https://id.loc.gov/authorities/subjects/sh85004683.html,
none|amsterdam-netherlands,Amsterdam (Netherlands),y,amsterdam-nl,geographic-city,Amsterdam (Netherlands),http://id.loc.gov/authorities/names/n78095634,
none|amu-darya,Amu Darya,y,amu-darya,geographic,,,
http://id.worldcat.org/fast/1240128.,Arab countries,n,,,,,too broad
none|araucan-a-chile-description-and-travel-pictorial-works,Araucanía (Chile) -- Description and travel -- Pictorial works,y,araucania-cl,geographic-region,Araucanía (Chile),https://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&logic=&note=&role=&subjectid=1001692,
http://id.worldcat.org/fast/1243320.,Arctic Ocean -- White Sea,y,white-sea,geographic-water,White Sea,,
http://id.worldcat.org/fast/1240227.,Arctic Regions,y,arctic,geographic-region,Arctic region,,
none|arctic-regions-pictorial-works,Arctic regions -- Pictorial works,y,arctic,geographic-region,,,
http://id.worldcat.org/fast/1205614.,Argentina,y,argentina,geographic-country,Argentina,,
fast|argentina,Argentina,y,argentina,geographic-country,,,
http://id.worldcat.org/fast/1205786.,Argentina -- Buenos Aires,y,buenos-aires-ar,geographic-city,Buenos Aires (Argentina),,
