canonicalKey,cluster,rawLabel,normLabel,authority
9VT9PWXB,(CStmoGRI)aat300123016,artists' books (books),artists-books-books,(CStmoGRI)aat300123016
9VT9PWXB,(CStmoGRI)aat300178842,bookworks,bookworks,(CStmoGRI)aat300178842
ZFRQULY9,(CaQQLa)201-0001314,Art -- 20e siècle -- Expositions,art-20e-sie-cle-expositions,(CaQQLa)201-0001314
6CH5IN4G,(CaQQLa)201-0055830,Livres d'artistes -- États-Unis,livres-d-artistes-e-tats-unis,(CaQQLa)201-0055830
4QN3KGAP,(CaQQLa)201-0061078,Sikhisme -- Histoire,sikhisme-histoire,(CaQQLa)201-0061078
4QN3KGAP,(CaQQLa)201-0061078,Sikhisme -- Ouvrages illustrées,sikhisme-ouvrages-illustr-es,(CaQQLa)201-0061078
W6ASFQ9T,(DE-576)208896201,Deutschland,deutschland,(DE-576)208896201
NQGJN9BU,(DE-576)208909400,Englisch,englisch,(DE-576)208909400
W6ASFQ9T,(DE-576)209131136,Terrorismus,terrorismus,(DE-576)209131136
NQGJN9BU,(DE-576)209139684,Übersetzung,bersetzung,(DE-576)209139684
W6ASFQ9T,(DE-576)21003467X,Toter,toter,(DE-576)21003467X
LSKMAIR3,(DLC)sh 85028901,Commerce,commerce,(DLC)sh 85028901
83MS2XUC,(NL-LeOCL)077600088,21.22 history of drawing,21-22-history-of-drawing,(NL-LeOCL)077600088
Q5WFUHJV,(OCoLC)fst00794769,Abstraction,abstraction,(OCoLC)fst00794769
FITK5XUS,(OCoLC)fst00795379,Accounting,accounting,(OCoLC)fst00795379
DS9CH8N2,(OCoLC)fst00799558,African Americans,african-americans,(OCoLC)fst00799558
W3966GFV,(OCoLC)fst00806113,Altered books,altered-books,(OCoLC)fst00806113
3Z5G7U57,(OCoLC)fst00807348,American poetry,american-poetry,(OCoLC)fst00807348
7BPKEUWY,(OCoLC)fst00807348,American poetry,american-poetry,(OCoLC)fst00807348
J2385L6U,(OCoLC)fst00811132,Apartment houses,apartment-houses,(OCoLC)fst00811132
43FXNU5W,(OCoLC)fst00811260,Apes in art,apes-in-art,(OCoLC)fst00811260
4CTZ2UT6,(OCoLC)fst00814030,Archives,archives,(OCoLC)fst00814030
4RVT3XTB,(OCoLC)fst00814030,Archives,archives,(OCoLC)fst00814030
BQGI7763,(OCoLC)fst00814030,Archives,archives,(OCoLC)fst00814030
HDJCQ4CP,(OCoLC)fst00814030,Archives,archives,(OCoLC)fst00814030
4694824U,(OCoLC)fst00815177,Art,art,(OCoLC)fst00815177
Z78UMVQG,(OCoLC)fst00815177,Art,art,(OCoLC)fst00815177
HDJCQ4CP,(OCoLC)fst00815396,Art History,art-history,(OCoLC)fst00815396
Z78UMVQG,(OCoLC)fst00815400,Art and literature,art-and-literature,(OCoLC)fst00815400
HDJCQ4CP,(OCoLC)fst00815400,Arts and Literature,arts-and-literature,(OCoLC)fst00815400
EL3DY4AX,(OCoLC)fst00815413,Art and Music,art-and-music,(OCoLC)fst00815413
J8K7RBCR,(OCoLC)fst00815413,Art and Music,art-and-music,(OCoLC)fst00815413
NSBFINI8,(OCoLC)fst00815432,Art and society,art-and-society,(OCoLC)fst00815432
SAMPYAPL,(OCoLC)fst00815850.,"Art, Abstract",art-abstract,(OCoLC)fst00815850
4694824U,(OCoLC)fst00816079,"Art, Canadian",art-canadian,(OCoLC)fst00816079
QE7YNW2G,(OCoLC)fst00816307.,"Art, German",art-german,(OCoLC)fst00816307
4694824U,(OCoLC)fst00816615,"Art, Modern",art-modern,(OCoLC)fst00816615
Z78UMVQG,(OCoLC)fst00816615,"Art, Modern",art-modern,(OCoLC)fst00816615
ZFRQULY9,(OCoLC)fst00816615,"Art, Modern",art-modern,(OCoLC)fst00816615
94M6KYT5,(OCoLC)fst00817559,Artists,artists,(OCoLC)fst00817559
964S7JHP,(OCoLC)fst00817559,Artists,artists,(OCoLC)fst00817559
HDJCQ4CP,(OCoLC)fst00817559,Artists,artists,(OCoLC)fst00817559
KLYNKBK7,(OCoLC)fst00817559,Artists,artists,(OCoLC)fst00817559
XTTYDTKS,(OCoLC)fst00817559,Artists,artists,(OCoLC)fst00817559
25YEIQ2T,(OCoLC)fst00817660,Artists' books,artists-books,(OCoLC)fst00817660
4BFIH68I,(OCoLC)fst00817660,Artists' books,artists-books,(OCoLC)fst00817660
4QTNST29,(OCoLC)fst00817660,Artists' books,artists-books,(OCoLC)fst00817660
4W33Y6TC,(OCoLC)fst00817660,Artists' books,artists-books,(OCoLC)fst00817660
6CH5IN4G,(OCoLC)fst00817660,Artists' books,artists-books,(OCoLC)fst00817660
6YWZ5K35,(OCoLC)fst00817660,Artists' books,artists-books,(OCoLC)fst00817660
7BPKEUWY,(OCoLC)fst00817660,Artists' books,artists-books,(OCoLC)fst00817660
9VT9PWXB,(OCoLC)fst00817660,Artists' books,artists-books,(OCoLC)fst00817660
