itemID,itemKey,publisher
1,SY5RIFMP,"Women's Studio Workshop"
2,F23C6QZJ,"Rosendale, New York : Women's Studio Workshop, 2019."
3,4R2N4PWW,"Bob Goldstein"
4,3RZ2C63A,"[Islam Aly]"
5,43CVMICH,"Naranja Publicaciones; Candor Arts"
6,ZI9DL79A,"Another Limited Rebellion"
7,RRAI2QGW,"Editorial Museo de Arte Moderno Bogotá, MAMBO"
8,2NYJAKLA,"Alisa Banks"
9,2YN8QKAX,"Duke Press"
10,48AHMBTH,"Charco Editoral artesanal"
11,52GSDNZF,Jednostka
12,PSPHWMIM,"Manuel Tzoc"
14,HF8DCWSM,"[publisher not identified]"
15,25B2EUK7,"[Pilar Álvarez Pablos]"
16,QYRC42SU,"Artspace Books"
17,YHE9JZF7,"Ediciones Losquehacere sdel ocio"
18,2NGLAAYW,"Helen Hiebert Studio"
19,LKGIJNJ7,"Jana Sim"
20,LRD6FCIV,"IST Publishing"
21,99EMTLY4,"Libertad bajo palabra; Movimiento Gráfico Mayahuel"
22,QTA2F867,"Women's Studio Workshop"
23,KM8AVRRW,"Naranja Libreria & Editorial EIRL"
24,9CEDU8RT,"Church of Law"
25,EAQWQBAP,"Normal Fetish"
26,YFL65QCK,"[publisher unidentified]"
27,HQ822BU9,"Ediciones Losquehaceres del ocio"
28,KJS25GIV,"Naranja Publicaciones"
29,ITG942QS,"La Conservadora"
30,ILIBVN2K,"Impronta Casa Editora"
31,6L3JZ96S,"Naranja Publicaciones"
32,5J3V6NGK,"Revista Xul"
33,L52JULIS,"[Gauss PDF]"
34,599Q83FU,"Small Craft Advisory Press"
36,22TSL3K2,"Angela Lorenz"
38,THIJKMBV,"Nowhereman Press"
39,UNHRR465,"Beau Geste Press"
40,2K8T47YK,"Jessica Greenfield"
41,KAENUH8A,"Endless Editions"
42,XTJAJ37U,"[Blue Bluer Books]"
43,9N4B4C7A,"Naranja Publicaciones"
44,X9FJLQ27,Coracle
45,Q5WDSUDE,"Tragaluz Editores"
46,LUPL8CQT,"Ediciones Arte Dos Gráfico"
47,BINBCVI8,"Naranja Ediciones"
48,CFNXQV37,"Beata Wehr"
49,LCSQF4S2,"Dábale Arroz Libros Artesanales"
50,53K4WJXZ,"Nowhereman Press"
51,22BEMS8X,"Naranja Publicationes"
52,BI7KKM94,"Naranja Publicaciones"
53,N94HZX47,"La Silueta Ediciones"
54,Y2MQKHFR,"Hatje Cantz Verlag ; Art Gallery of Alberta"
73,VDA82B6V,"Future Press"
74,ZS9HSQV3,"This Book is True"
77,E83M2CB7,"Nowhereman Press"
78,GT82LS4U,"Seattle, Wa. : Ruth Hayes, [1984]"
79,EMCPPF6R,"Seattle, Wa. : Ruth Hayes, [1984]"
80,C7JR86NJ,"Seattle, Wa. : Ruth Hayes, [1984]"
81,GUBA5JU7,"Ciudad de México ; Barcelona, España : RM, Noviembre 2016."
82,KYI6P6LX,"Ko?ln : Buchhandlung Walther Ko?nig, [2014]"
83,3Y8U8ZF9,"Papyrus Productions"
84,ZF9J7VYT,"Ediciones Vigía"
85,NDPVLDGF,[s.n.]
86,3P75FBKY,"Beijing : Ullens Center for Contemporary Art ; London : Konig Books Ltd., [2014]"
87,272QXVTY,"Irish Museum of Modern Art/Áras Nua-Ealaíne Na H-Éireann ; In association with Charta"
88,B9X5MTPV,"Artspace Books"
89,MITGPJKM,"Four Corners Books ; Vanity Press"
90,UZUM98R2,"[Leeds?] : Yorkshire Sculpture International in partnership with Leeds Beckett University and Information Material, 2019."
91,VGY3674K,"[JAB Books]"
92,HB95RIVQ,"Zurich : Hauser & Wirth Publishers, 2018."
93,X3KX92BL,"New York : CPInPrint Cameron   Brown, 2016."
94,AQE4CDGR,"Printed Matter, Inc. : Primary Information"
95,PI7E8UF8,"Berlin, Germany : Adrian Piper Research Archive Foundation Berlin, 2018."
96,AGMX3BN4,"[JAB Books] : M Creative Press"
97,GNKN2DAH,"Something Else Press"
98,5MYX92DW,"Ben Patterson"
99,SEHLKI4V,"New York, Center for New Art Activities [etc.]"
100,LMQQPHN9,"New York, NY : Published by D.A.P., [2021]"
103,D487QR9R,"publisher not identified"
105,HB8B67UX,"Stedelijk Van Abbemuseum"
106,I69WQMMU,"M. Gimblett"
107,M56678VA,"Ooga Booga"
108,FCKVGPW5,Dilecta
109,DMTT8T6A,Leporello
110,UH32L6PL,"Visual Editions"
111,S29M9IIU,"SPBH editions"
112,GH67VFVH,"Ed. G.L.M."
113,QZJJ8F3W,"Wiesbaden : Ben Patterson, c1999."
114,XZ5DZZSZ,"New Press"
115,5SAMJ3D8,"Blue Bluer Books"
117,EPE2V5ER,"Coracle Press?"
118,Q4UAYCYQ,"Edition Jacob Samuel"
119,MW2UVA9B,"Hine Editions"
120,VZC5BRP9,"Library of the Printed Web"
121,ZICHM787,"New York, NY : Library of the Printed Web, 2014-"
124,X7YQ8IVJ,"publisher not identified"
125,6JNJPJSE,"Edition Jacob Samuel"
126,VVBDLJUH,"Spaceheater Editions"
127,G5UQTVW3,"Archetype Press, Art Center College of Design"
128,ACCAJNT7,"Small Editions"
129,4LY248LE,"[publisher not identified]"
130,6VI497ZQ,"R. Veroni"
131,PKJJDQ8G,"Women's Studio Workshop]"
132,TTJ5B3TS,"Ediciones Vigía"
133,BZPMW4HV,"Tree House Press"
134,GKUVTWJW,"Nexus Press"
135,HNJSB5JK,"Blue Bluer Books"
137,AP59GFXR,"Flying Fish Press"
138,MM8NWJCR,s.n.]
139,IXC4T3PM,"Naughty Dog Press"
140,YKIH6Y2P,"Women's Studio Workshop"
141,GLV3KYSX,"[Lee Krist]"
142,U5EVWSAI,"Nexus Press"
143,G942B82E,"Nexus Press"
144,SY6GM7YH,"Clarissa T. Sligh"
145,VWBF4K3W,Bookery
146,W6GGV3JU,[s.n.]
147,XI6X73RQ,"[Gavin Brown's Enterprise]"
148,TSXG9A4K,"H. Weston]"
149,E2FKZLID,s.n.
150,QRP7Z8AD,"By the artist at Columbia College, Center for Book & Paper Arts"
151,65WBUH4J,"Massachusetts Museum of Contemporary Art ;"
152,VG2N7Y8S,"Thames & Hudson Ltd"
153,A74HZXPS,"A. Lorenz"
154,MH8N9DTS,"Visual Editions"
155,D78IJBAH,"Penguin Books"
156,II5BKV7V,"[Washington, D.C.] : [Marginalia Press], 2015."
157,6284G283,"[Madrid, Spain] : BlackMountain, mayo 2013."
158,STA2FSP6,"Los Angeles, California : Siglio, 2015."
159,WLSN54R4,"Rochester, NY : VSW Press, [2017]"
160,YYGJGR8S,"Women's Studio Workshop"
161,9DZ63P7S,"Los Angeles : Journal of Aesthetics & Protest Press, c2007."
