publisher,wikidata identifier
Art For All,Q132109081
Press line,Q124317717
Antoine Buyse,Q58794438
Ace Gallery,Q4672976
ACTAR,Q4650839
Actes Sud,Q2823584
Actes Sud,Q2823584
Addison Gallery of American Art,Q4681251
Addison Gallery of American Art,Q4681251
Adelina von Fürstenberg,Q4681950
Adrien Maeght,Q33145334
Alain Buyse,Q28152550
Alexis Arnoldt,Q41777359
Alisa Banks,Q99591270
Allworth Press,Q139031844
Anderson Ranch Arts Center,Q54679533
"Anderson, Ritchie & Simon",Q121300365
"Anderson, Ritchie & Simon",Q121300365
Anne Frank House,Q4452658
Anthology Editions,Q124632252
Anton Würth,Q95288974
Aperture Foundation,Q4779388
Aram Sifuentes,Q23664618
Ardea Arts Inc.,Q109553398
Argobooks,Q23902973
Ari Marcopoulos,Q4790114
Arion Press,Q4790763
Arne Wolf,Q110111818
Art & Language Press,Q56422033
Art Farm,Q127513851
Art Gallery of Hamilton,Q4796830
Art Gallery of Ontario,Q670250
Art Press,Q2864718
Art For All,Q132109081
Art & Language,Q558276
Artist Press,Q131287421
Artpolice,Q88331448
Artspeak,Q17013345
Astro Artz,Q106281335
Astrup Fearnley Museum of Modern Art,Q761048
Atelier des Grames,Q2868862
Ateliers Graff,Q106847255
اٹلانٹا کالج آف آرٹ,Q4816044
اٹلانٹا کالج آف آرٹ,Q4816044
اٹلانٹا کالج آف آرٹ,Q4816044
Nexus Press,Q117885051
Nexus Press,Q117885051
Nexus Press,Q117885051
Nexus Press,Q117885051
Nexus Press,Q117885051
Nexus Press,Q117885051
Nexus Press,Q117885051
Nexus Press,Q117885051
Nexus Press,Q117885051
Nexus Press,Q117885051
Nexus Press,Q117885051
Nexus Press,Q117885051
Nexus Press,Q117885051
Nexus Press,Q117885051
Nexus Press,Q117885051
Nexus Press,Q117885051
Nexus Press,Q117885051
Nexus Press,Q117885051
Nexus Press,Q117885051
Nexus Press,Q117885051
Nexus Press,Q117885051
Nexus Press,Q117885051
Atlas Press,Q4034541
Audrey Niffenegger,Q113233
University of Texas Press,Q4005866
University of Texas Press,Q4005866
Barbara A. Fox,Q112873618
Brian Nolan,Q58475654
Barbara Porter,Q117348071
Badlands Unlimited,Q48965141
bailiwick,Q4996207
Bantam Books,Q2609948
Barbara Fahrner,Q139159006
Gladstone Gallery,Q51575015
Barbara Milman,Q106317912
Barbara Rosenthal,Q4859266
Barbarian Press,Q25039572
Béatrice Coron,Q23691925
Beau Geste Press,Q65091791
The Bedford Press,Q100278192
Beinecke Rare Book & Manuscript Library,Q814779
Belleza Infinita,Q131937967
Belleza Infinita,Q131937967
Bern Porter,Q822103
Bernard Quaritch Ltd,Q65034936
National Library of Chile,Q2901485
Bibliothèque municipale de Lyon,Q8622
Bieler Press,Q138379481
Black Dog Publishing,Q4920673
Black Sparrow Books,Q2905471
Blue Heron Press,Q85845536
Booklyn Artist Alliance,Q16948255
Boston Athenæum,Q478013
Bowdoin College Library,Q109450613
Brainstormers,Q16200250
Bread and Puppet Theater,Q903519
Bread and Puppet Theater,Q903519
Brighton Press,Q138379513
Brooklyn Museum,Q632682
Buchhandlung Walther König,Q998441
Buenaventura Press,Q4985484
Bullet Space,Q105368671
Buzz Spector,Q62061918
Byerley,Q5004060
Bywater Bros. Editions,Q111354059
cacls,Q3649398
CCA Kitakyūshū,Q11193101
California Institute of the Arts,Q1026827
Camberwell Press,Q138379521
Cape Goliard Press,Q138379524
Carla Sozzani,Q5041107
Carol Schwartzott,Q108715894
Carole Caroompas,Q5044669
Papyrus Notebooks Publishing House,Q136376051
Casa los fuegos,Q119503514
Castelli Graphics,Q110280176
Castle of Rivoli,Q19844
Catbird Press,Q11722495
Center for Book Arts,Q5059528
CCA Kitakyūshū,Q11193101
Centre culturel suisse,Q2945014
Institut Tessin,Q927844
centre d'édition contemporaine,Q2945154
Centro Di,Q122921489
Centro de Arte y Comunicación,Q1054333
Centro de Arte y Comunicación,Q1054333
Racine Art Museum,Q7279653
Chax Press,Q5088584
Christine Burgin,Q134958516
Christine Burgin Gallery,Q134958529
Christine Kermaire,Q102036264
Chronicle Books,Q5114023
Circle Press,Q138379543
City Lights Bookstore,Q2394278
Clarissa Sligh,Q18347825
Closky,Q130236300
Cneai =,Q17175770
Coach House Books,Q5137585
Coach House Press,Q106918336
The Coca-Cola Company,Q3295867
Codex Foundation,Q138379547
Coffee House Press,Q5140912
Colette Fu,Q27915324
Common Threads Press,Q134385459
Conrad Gleber,Q25389082
Conveyor Editions,Q119496712
cookie press,Q5167102
Copper Canyon Press,Q5168700
Coracle Press,Q75894356
Coracle Press,Q75894356
Cornell University,Q49115
Corraini edizioni,Q19753409
CounterPath Corporation,Q5176904
Crab Quill Press,Q138379559
CrimethInc.,Q1140033
Cristina de Middel,Q16215220
linen tester,Q1638603
Distributed Art Publishers,Q5283109
Distributed Art Publishers,Q5283109
Daily-Bul,Q3012081
Daniel Jubb,Q5217732
Daniela Ruggeri,Q137089406
Dashwood Books,Q137643264
David Stairs,Q67400858
Davison Art Center,Q18342336
Vleeshal Middelburg,Q597597
Deichtorhallen,Q1183156
dele,Q686962
Delft University Press,Q122921520
Andrea Dezsö,Q20479756
Dia Art Foundation,Q1207930
Distributed Art Publishers,Q5283109
Don Celender,Q28873078
Double Elephant Press,Q110280322
Drawing Center,Q3039170
drill press,Q2211295
printed matter,Q1261026
