itemID,itemKey,itemType,dateAdded,dateModified,title,abstractNote,date,publisher,place,volume,numberOfVolumes,edition,series,seriesNumber,numPages,pages,ISBN,ISSN,url,accessDate,language,shortTitle,libraryCatalog,callNumber,archiveLocation,rights,extra,publicationTitle,bookTitle,websiteTitle,university,creators,collections
1,SY5RIFMP,book,"2024-12-10 20:04:46","2025-11-25 16:02:53","Your leader could be a tyrant, how to tell",,"2019-00-00 2019","Women's Studio Workshop","Rosendale, New York",,,,,,,,978-1-943039-23-4,,https://catalog.lib.unc.edu/catalog/UNCb11859007,"2024-12-10 20:04:46",English,,catalog.lib.unc.edu,"N7433.4.K339 Y68 2019",,,,,,,,"Freedom House (U.S.)","Artists' Books Collection; To be photographed"
2,F23C6QZJ,book,"2022-05-27 19:40:19","2025-11-25 16:02:19","Ul'nigid'",,"2019-00-00 2019","Rosendale, New York : Women's Studio Workshop, 2019.",,,,,,,,,978-1-943039-21-0,,https://catalog.lib.unc.edu/catalog/UNCb11141232,,,,,"N7433.4.T246 U4 2019",,,,,,,,"Rhiannon Skye Tafoya","Artists' Books Collection; To be photographed"
3,4R2N4PWW,book,"2024-04-18 17:39:09","2025-11-25 16:02:01","Toxic campus map",,"2020-00-00 2020","Bob Goldstein","[Chapel Hill?]",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb11733958,"2024-04-18 17:39:09",English,,catalog.lib.unc.edu,"N7433.4.G639 T69 2020",,,,,,,,"Bob Goldstein","Artists' Books Collection; To be photographed"
4,3RZ2C63A,book,"2025-03-07 17:23:18","2025-11-25 16:01:20","The tapestry of dreamweaver",,"2023-00-00 2023","[Islam Aly]","[Cairo, Egypt]",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb11858998,"2025-03-07 17:23:18",English,,catalog.lib.unc.edu,"N7433.4.A47 T37 2023",,,,,,,,"Islam Aly","Artists' Books Collection; To be photographed"
5,43CVMICH,book,"2024-04-26 14:52:55","2025-11-25 16:00:09","Tentativa de la razón",,"2019-00-00 2019","Naranja Publicaciones; Candor Arts","Santiago de Chile; Chicago, IL",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb11572182,"2024-04-26 14:52:55",English,,catalog.lib.unc.edu,"N7433.4.B367 T46 2019",,,,,,,,"Sebastian Barrante","Artists' Books Collection; To be photographed"
6,ZI9DL79A,book,"2023-10-09 19:30:55","2025-11-25 15:59:09","Spectacles for the short sighted. 1. Masks as agents of social control",,"1992-00-00 1992","Another Limited Rebellion","[United States]",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb11578708,,,,,"N7433.4.S282 S64 1992",,,,,,,,"edited by Noah Scalin","Artists' Books Collection; To be photographed"
7,RRAI2QGW,book,"2025-02-13 16:14:56","2025-11-25 15:58:50","Soñé que el paisaje me miraba = : I dreamt that the landscape was looking at me",,"2021-00-00 2021","Editorial Museo de Arte Moderno Bogotá, MAMBO","Bogotá, Colombia",,,,,,,,978-958-5128-05-7,,https://catalog.lib.unc.edu/catalog/UNCb11933250,"2025-02-13 16:14:56",Spanish,"Soñé que el paisaje me miraba =",catalog.lib.unc.edu,"N7433.4.M585 S66 2021",,,,,,,,"Jessica Mitrani","Artists' Books Collection; To be photographed"
8,2NYJAKLA,book,"2024-12-10 20:00:44","2025-11-25 15:57:30",Self,,"2022-00-00 2022","Alisa Banks","[Dallas, Texas]",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb11859009,"2024-12-10 20:00:43",English,,catalog.lib.unc.edu,"N7433.4.B3438 S45 2022",,,,,,,,"Alisa Banks","Artists' Books Collection; To be photographed"
9,2YN8QKAX,book,"2024-12-04 15:41:17","2025-11-25 15:56:52","Rain day",,"2011-00-00 2011","Duke Press",,,,,,,,,978-0-9567481-0-2,,https://catalog.lib.unc.edu/catalog/UNCb12009613,"2024-12-04 15:41:17",English,,catalog.lib.unc.edu,"N7433.4.W32 R35 2011",,,,,,,,"by Hannah Waldron","Artists' Books Collection; To be photographed"
10,48AHMBTH,book,"2025-03-24 20:12:56","2025-11-25 15:56:32","Púlsares : ensayo para un bosque",,"2022-00-00 2022","Charco Editoral artesanal","Conurbano bonarense, Argentina",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb11689430,"2025-03-24 20:12:55",Spanish,"Púlsares",catalog.lib.unc.edu,"N7433.4.M43 P85 2022",,,,,,,,"Mariana Paula Perata","Artists' Books Collection; To be photographed"
11,52GSDNZF,book,"2023-10-09 20:10:42","2025-11-25 15:56:07","Prawie każda róża na barierkach przy Sejmie",,"2018-00-00 2018",Jednostka,[Warszawa],,,,,,,,978-83-949273-1-8,,https://catalog.lib.unc.edu/catalog/UNCb11250621,,,,,"TR655 .M547 2018",,,,,,,,"Rafał Milach","Artists' Books Collection; To be photographed"
12,PSPHWMIM,book,"2023-09-13 14:53:57","2025-11-25 15:55:54","Pequeña voz",,"2023-00-00 2023","Manuel Tzoc",[Guatemala],,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb11573508,,,,,"N7433.4.T97 P47 2023",,,,,,,,"Manuel Tzoc","Artists' Books Collection; To be photographed"
13,EQ5SUU2I,book,"2024-10-02 15:35:53","2025-11-25 15:55:39","Other ways of knowing",,"2023-00-00 2023",,,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb11465741,"2024-10-02 15:35:53",English,,catalog.lib.unc.edu,"N7433.4.J638 O84 2023",,,,,,,,"Monica Johnson","Artists' Books Collection; To be photographed"
14,HF8DCWSM,book,"2023-10-09 19:20:29","2025-11-25 15:55:07","NERTM (New earth resiliency training module).",,"2019-00-00 2019","[publisher not identified]","[New York?]",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb11465536,,,,,"N7433.4.T32 N47 2016 v.2",,,,,,,,,"Artists' Books Collection; To be photographed"
15,25B2EUK7,book,"2024-04-18 17:34:28","2025-11-25 15:54:48",Metamorfosis,,"2020-00-00 2020","[Pilar Álvarez Pablos]",[Spain],,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb11746995,"2024-04-18 17:34:27",Spanish,,catalog.lib.unc.edu,"N7433.4.A58 M48 2020",,,,,,,,"Pilar Álvarez Pablos","Artists' Books Collection; To be photographed"
16,QYRC42SU,book,"2025-04-23 17:27:12","2025-11-25 15:54:30","Memories that smell like gasoline",,"1992-00-00 1992","Artspace Books","San Francisco",,,,,,,,978-0-9631095-0-7,,https://catalog.lib.unc.edu/catalog/UNCb2481356,"2025-04-23 17:27:11",English,,catalog.lib.unc.edu,"N7433.4.W64 M4 1992",,,,,,,,"David Wojnarowicz","Artists' Books Collection; To be photographed"
17,YHE9JZF7,book,"2024-12-04 15:28:20","2025-11-25 15:54:13","Las urracas",,"2019-00-00 2019","Ediciones Losquehacere sdel ocio","C.D. México, Azcapolzalco",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb11963657,"2024-12-04 15:28:20",Spanish,,catalog.lib.unc.edu,"NE546.P59 U77 2019",,,,,,,,"Alejandra Macedo","Artists' Books Collection; To be photographed"
18,2NGLAAYW,book,"2024-12-10 19:55:05","2025-11-25 15:53:50",LandEscape.,,"2016-00-00 2016","Helen Hiebert Studio","[Red Cliff, Colo.]",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb11858999,"2024-12-10 19:55:04",English,,catalog.lib.unc.edu,"N7433.4.H535 L36 2016",,,,,,,,"Karen Kunc; Helen Hiebert","Artists' Books Collection; To be photographed"
19,LKGIJNJ7,book,"2025-02-13 16:04:54","2025-11-25 15:53:38","Korean traditional door patterns.",,"2016-00-00 2016","Jana Sim","[Seoul, Korea]",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb11859004,"2025-02-13 16:04:54",English,,catalog.lib.unc.edu,"N7433.4.S4233 K67 2016",,,,,,,,"Jana Sim","Artists' Books Collection; To be photographed"
20,LRD6FCIV,book,"2024-04-18 17:45:32","2025-11-25 15:53:22","I love you : an artbook",,"2020-00-00 2020","IST Publishing",[Kharkiv],,,,,,,,978-617-7948-03-1,,https://catalog.lib.unc.edu/catalog/UNCb11208436,"2024-04-18 17:45:32",English,"I love you",catalog.lib.unc.edu,"TR655 .L475 2020",,,,,,,,"Katya Lesiv; Victor Chorniy","Artists' Books Collection; To be photographed"
21,99EMTLY4,book,"2025-04-29 18:31:45","2025-11-25 15:53:07","Gráfica y palabra zapatista.",,"2019-00-00 2019","Libertad bajo palabra; Movimiento Gráfico Mayahuel","México",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb9826037,"2025-04-29 18:31:45",Spanish,,catalog.lib.unc.edu,"F1256 .G73 2019",,,,,,,,"Subcomandante Marcos; Francisco Pineda; Laura Espejel López; Alicia Olivera de Bonfil; Salvador Rueda Smithers","Artists' Books Collection; To be photographed"
22,QTA2F867,book,"2025-03-24 20:53:07","2025-11-25 15:52:49","Golden Lotus",,"2022-00-00 2022","Women's Studio Workshop","[Rosendale, N.Y.]",,,,,,,,978-1-943039-26-5,,https://catalog.lib.unc.edu/catalog/UNCb11871763,"2025-03-24 20:53:07",English,,catalog.lib.unc.edu,"N7433.4.F8 G65 2022",,,,,,,,"Colette Fu Artist","Artists' Books Collection; To be photographed"
23,KM8AVRRW,book,"2024-12-11 20:52:45","2025-11-25 15:52:31","From her(e) to now(here)",,"2019-00-00 2019","Naranja Libreria & Editorial EIRL",Santiago,,,,,,,,,,https://catalog.lib.unc.edu/trln/UNCb11749800,"2024-12-11 20:52:45",English,,catalog.lib.unc.edu,"N7433.4.V545 F76 2019",,,,,,,,"Pablo Vindel","Artists' Books Collection; To be photographed"
